issue_id,table_name,field_name,rule,observed_count,affected_denominator,severity,likely_cause,analytic_consequence,proposed_response,owner,status
D01,defective_analytic_table,patient_id,Exact duplicate person rows beyond the first patient row.,5,379,blocking,deterministic teaching defect,Changes person denominators and weights duplicated people twice.,Remove only manifest-appended duplicates and verify one row per patient.,learner data analyst,open seeded issue
D02,defective_analytic_table,index_encounter_id,Required index encounter ID is blank.,3,379,blocking,deterministic teaching defect,Breaks index traceability and key completeness.,Restore the accepted index key.,learner data analyst,open seeded issue
D03,defective_analytic_table,age_at_index,Age at index is below 18.,3,379,blocking,deterministic teaching defect,Contradicts cohort eligibility.,Restore the accepted age.,learner data analyst,open seeded issue
D04,defective_analytic_table,age_at_index,Age at index exceeds 120.,2,379,blocking,deterministic teaching defect,Implausible teaching value distorts age summaries.,Restore the accepted age.,learner data analyst,open seeded issue
D05,defective_analytic_table,index_start,Index start is not a parseable UTC timestamp.,3,379,blocking,deterministic teaching defect,Breaks time zero and temporal analysis.,Restore the accepted timestamp.,learner data analyst,open seeded issue
D06,defective_analytic_table,index_stop,Index stop occurs before index start.,3,379,blocking,deterministic teaching defect,Produces an impossible encounter interval and invalid follow-up origin.,Restore the accepted stop timestamp.,learner data analyst,open seeded issue
D07,defective_analytic_table,index_class,Index class is outside the acute vocabulary even after case normalization.,2,379,blocking,deterministic teaching defect,Contradicts cohort eligibility and grouping.,Restore the accepted class.,learner data analyst,open seeded issue
D08,defective_analytic_table,index_class,Index class has a noncanonical case variant.,3,379,material,deterministic teaching defect,Splits groups in case-sensitive analysis.,Restore canonical lowercase and document drift.,learner data analyst,open seeded issue
D09,defective_analytic_table,prior_365d_encounter_count,Encounter-history count is negative.,3,379,blocking,deterministic teaching defect,Invalidates history summaries.,Restore the accepted nonnegative count.,learner data analyst,open seeded issue
D10,defective_analytic_table,prior_365d_acute_count,Acute-history count exceeds all encounter history.,3,379,blocking,deterministic teaching defect,Violates numerator-parent count logic.,Restore the accepted count pair.,learner data analyst,open seeded issue
D11,defective_analytic_table,gender,Required source gender is blank.,4,379,material,deterministic teaching defect,Creates unsupported missingness and changes subgroup denominators.,Restore the accepted value.,learner data analyst,open seeded issue
D12,defective_analytic_table,gender,Gender value is outside M or F in this pinned source contract.,3,379,material,deterministic teaching defect,Creates an unregistered category.,Restore the accepted value and preserve source meaning.,learner data analyst,open seeded issue
D13,defective_analytic_table,next_30d_state,No-encounter state has one or more next-event companion values.,3,379,blocking,deterministic teaching defect,Contradicts explicit absence and can double-count follow-up.,Restore all three blank companion fields.,learner data analyst,open seeded issue
D14,defective_analytic_table,next_30d_state,Recorded next state lacks one or more required companion values.,3,379,blocking,deterministic teaching defect,Prevents timing and event traceability.,Restore all accepted companion fields.,learner data analyst,open seeded issue
D15,defective_analytic_table,next_30d_days_after_index_stop,Next-event elapsed days are at or below zero.,2,379,blocking,deterministic teaching defect,Places follow-up at or before the follow-up origin.,Restore the accepted elapsed value.,learner data analyst,open seeded issue
D16,defective_analytic_table,next_30d_days_after_index_stop,Next-event elapsed days exceed 30.,2,379,blocking,deterministic teaching defect,Places an event outside the declared window.,Restore the accepted elapsed value.,learner data analyst,open seeded issue
D17,defective_analytic_table,acute_return_90d,Acute-return flag is outside 0 or 1.,3,379,blocking,deterministic teaching defect,Breaks binary summaries and endpoint logic.,Restore the accepted flag.,learner data analyst,open seeded issue
D18,defective_analytic_table,endpoint_90d,Death flag equals 1 but endpoint is not Death.,2,379,blocking,deterministic teaching defect,Violates declared endpoint precedence.,Restore the accepted endpoint.,learner data analyst,open seeded issue
D19,defective_analytic_table,source_release,Source-release label differs from synthea-csv-apr2020.,2,379,blocking,deterministic teaching defect,Breaks provenance and may mix releases silently.,Restore the accepted source label.,learner data analyst,open seeded issue
D20,defective_analytic_table,cohort_definition_version,Cohort-definition version differs from 0.1.0.,2,379,blocking,deterministic teaching defect,Breaks the frozen cohort contract.,Restore the accepted cohort version.,learner data analyst,open seeded issue
N01,accepted_analytic_table,death_date,Death date is blank in the accepted table.,343,374,condition,accepted synthetic source characteristic,Death-specific denominators differ from the full cohort.,Retain missing values and state the denominator.,Module 05 clinical analytics reviewer,documented condition
N02,accepted_analytic_table,index_reason_code,Index reason code and description are both blank.,226,374,condition,accepted synthetic source characteristic,Reason-specific descriptions have a smaller available denominator.,Retain paired missingness and document availability.,Module 05 clinical analytics reviewer,documented condition
N03,accepted_analytic_table,next_30d_state,No-encounter state has all three companion fields blank.,263,374,condition,accepted synthetic source characteristic,The source cannot establish whether care occurred elsewhere.,Retain explicit state and blank companions.,Module 05 clinical analytics reviewer,documented condition
N04,accepted_analytic_table,age_at_index,Age at index is at least 100.,5,374,review,accepted synthetic source characteristic,Extreme ages may influence summaries.,Review against source and retain unless disproven.,Module 05 clinical analytics reviewer,documented condition
N05,accepted_analytic_table,prior_365d_encounter_count,Prior encounter count exceeds 100.,2,374,review,accepted synthetic source characteristic,A small number of rows may dominate count summaries.,Review source history and retain with robust summaries.,Module 05 clinical analytics reviewer,documented condition
N06,accepted_analytic_table,prior_365d_medication_count,Prior medication count exceeds 100.,1,374,review,accepted synthetic source characteristic,One row may dominate count summaries.,Review source rows and retain with a condition.,Module 05 clinical analytics reviewer,documented condition
N07,accepted_analytic_table,race,Rows belong to race categories with fewer than 10 cohort rows.,6,374,condition,accepted synthetic source characteristic,Public display may expose unstable or overinterpreted tiny groups.,Retain internally and apply audience-specific display caution.,Module 05 clinical analytics reviewer,documented condition
N08,accepted_analytic_table,next_30d_state|endpoint_90d,Rows belong to urgent-care next state or Death endpoint cells.,12,374,condition,accepted synthetic source characteristic,Small outcome cells can be overinterpreted.,Retain exact internal counts and limit claims and display.,Module 05 clinical analytics reviewer,documented condition
