condition_id,condition,owner,verifier,status,blocks
C01,Map the checkpoint to the official APP-5 section and published half-term dates,APP-5 faculty owner,program director,open,alpha
C02,Review TIGER geometry source identity projection simplification accessible map and exact table,GIS owner,GIS reviewer,open,alpha
C03,Review ecological contextual support aggregation and non-stigmatizing place claims,population-health clinician,equity reviewer,open,alpha
C04,Review fixed resource assumptions four rules fairness definitions consequences and sensitivity,resource-governance owner,biostatistics reviewer,open,alpha
C05,Confirm community review correction appeal language access and disability access routes,community-review owner,community and access reviewers,open,alpha
C06,Confirm the fictional intervention does not create real need consent eligibility or outreach authority,clinical owner,population-health clinician,open,alpha
C07,Resolve or retain all staff travel burden and capacity conditions,implementation owner,implementation reviewer,open,alpha
C08,Review all monitoring definitions denominators triggers unavailable states and responses,monitoring owner,epidemiology reviewer,open,alpha
C09,Review incident escalation pause stop revision retirement and disagreement authority,governance owner,safety reviewer,open,alpha
C10,Confirm outcomes are unavailable and effect estimation remains deferred to APP-6,evaluation owner,causal reviewer,open,alpha
C11,Review the fixed clustering contract instability failures rejected decision and prohibited uses,model-risk owner,biostatistics and responsible-AI reviewers,open,alpha
C12,Review privacy security accessibility and non-reconstruction boundaries,data steward,privacy security and accessibility reviewers,open,alpha
C13,Review every material AI use verification correction and human accountability record,APP-5 faculty owner,responsible-AI reviewer,open,alpha
C14,Complete independent reproduction and confirm Joe Joseph MD participation schedule format recording permission and biography wording,program director,independent reproducer and clinician-leadership reviewer,open,alpha
