case_id,category,request_received,response_present,terminal_trace_present,human_notice_present,silent_failure_detected,detection_basis,claim_limit
M05-P01,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P02,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P03,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P04,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P05,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P06,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P07,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P08,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P09,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P10,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P11,normal positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-P12,repeat positive,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-N01,normal negative,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-B01,threshold boundary,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F01,missing input,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F02,stale input,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F03,inconsistent input,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F04,delayed input,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F05,duplicate request,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
