rule_id,measure_id,trigger,owner,escalates_to,fallback,stop_rule,restart_rule,retirement_rule,automatic_action
E01,M02,input availability below 99 percent,data steward,clinical informatics owner,show unavailable,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E02,M07,P95 latency above 2000 ms,service owner,governance council,show delayed state,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E03,M08,unexplained error or rate above 1 percent,service owner,patient-safety owner,show visible error,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E04,M09,one silent failure,patient-safety owner,governance council,stop affected evaluation,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E05,M10,outcome availability below 90 percent,evaluation steward,governance council,report performance unavailable,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E06,M11,calibration trigger met,model steward,governance council,pause calibration claims,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E07,M12-M13,discrimination or drift trigger met,model steward,governance council,retain transparent reference,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E08,M14,support loss or subgroup degradation,equity steward,governance council,suppress unsupported result,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E09,M15,any version mismatch,model steward,governance council,reject visibly,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E10,M16,one severe or two related incidents,patient-safety owner,governance council,stop affected release,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E11,M17,override ledger unavailable,clinical owner,governance council,report response unavailable,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
E12,M18-M20,"accessibility, duplicate, or semantic control fails",named control owner,governance council,block affected output,stop the affected evaluation or release when the control cannot bound the hazard,named owner verifies repair and the governance council records approval,retire when the control cannot be restored or the intended use is no longer supportable,none
