measure_id,domain,measure,value,unit,evidence_state,source_period,denominator,direction,display,draft_threshold,escalation,owner,review_cadence,unavailable_state,claim_limit
M01,process,weekly median arrival-to-clinician,60.035963,minutes,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,lower may be favorable,XmR,70.035963,investigate above threshold,flow lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M02,process,weekly 90th percentile arrival-to-clinician,136.453267,minutes,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,lower may be favorable,run chart,151.453267,investigate above threshold,flow lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M03,outcome,weekly median arrival-to-departure,105.400000,minutes,simulated planning baseline,Module 05 C02 no-change median,completed encounters,lower may be favorable,run chart,context only,review with disposition mix,clinical operations lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M04,access,left before seen,11.914912,percent,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,lower may be favorable,p-chart,12.914912,investigate above threshold,access lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M05,flow,completed throughput,772.500000,encounters per week,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,context only,run chart,context only,interpret with demand and abandonment,flow lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M06,capacity,clinician utilization,84.996853,percent,simulated planning baseline,Module 05 C02 no-change median,modeled available clinician time,context only,run chart,context only,review sustained high and low values,workforce data owner,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M07,workforce,overtime hours,7.923167,hours per week,simulated planning reference,Module 05 C02 no-change median,modeled scheduled clinician-hours,lower may be favorable,run chart,8.715484,investigate above threshold,workforce lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M08,safety,reviewed safety-event candidates,unavailable,events per 1000 completed,unavailable prospectively,prospective source not available,completed encounters,lower is not inherently favorable,exact Poisson u-chart,any reviewed candidate,immediate clinical review,safety lead,weekly and event review,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M09,outcome,return within 72 hours,unavailable,percent,unavailable prospectively,prospective source not available,eligible discharges with complete follow-up,context only,p-chart,follow-up completeness required,interpret only after completeness passes,quality lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M10,access,language-support arrival-to-clinician gap,0.000000,minutes,simulated planning baseline,Module 05 C02 no-change median,language-support and standard eligible arrivals,lower may be favorable,exact table and run chart,5.000000,pause review above 5 minutes worse,access lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M11,access,mobility-support arrival-to-clinician gap,0.241085,minutes,simulated planning baseline,Module 05 C02 no-change median,mobility-support and standard eligible arrivals,lower may be favorable,exact table and run chart,5.000000,pause review above 5 minutes worse,access lead,weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M12,workforce,interruptions and perceived workload,unavailable,prospective instrument units,unavailable prospectively,prospective source not available,participating workforce respondents,lower may be favorable,exact table,baseline required,collect before any test,workforce lead,each shift and weekly,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
