comment_id,assigned_channel,synthetic_comment_text,coder_a_theme,coder_b_theme,adjudicated_theme
COMMENT-0009,phone,I had questions about what the visit or medicine would cost.,,,
COMMENT-0011,mail,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0012,web,"I am not sure which part of the process this comment belongs to. The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0015,phone,The team listened to my concern before explaining the next step.,,,
COMMENT-0016,web,The cost of the recommended follow-up made the plan harder to carry out. I needed more help understanding when to take each medicine.,,,
COMMENT-0018,mail,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0023,web,"I knew which medicines changed, but not why.",,,
COMMENT-0026,mail,I have one more question about the next step.,,,
COMMENT-0035,phone,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0036,mail,The team listened to my concern before explaining the next step. I needed more help understanding when to take each medicine.,,,
COMMENT-0041,phone,I am not sure which part of the process this comment belongs to.,,,
COMMENT-0049,mail,I am not sure which part of the process this comment belongs to.,,,
COMMENT-0053,web,"The cost of the recommended follow-up made the plan harder to carry out. I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0054,phone,I wanted clearer guidance about symptoms that need urgent attention.,,,
COMMENT-0056,mail,I have one more question about the next step.,,,
COMMENT-0061,mail,The plan did not include a lower-cost option.,,,
COMMENT-0062,mail,I did not know who to contact after regular hours. I wanted more time to ask questions and help choose the plan.,,,
COMMENT-0064,phone,The cost of the recommended follow-up made the plan harder to carry out.,,,
COMMENT-0066,web,The medicine list was hard to follow after I got home.,,,
COMMENT-0069,mail,I needed more help understanding when to take each medicine.,,,
COMMENT-0074,mail,I wanted more time to ask questions and help choose the plan.,,,
COMMENT-0077,web,"I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0078,phone,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0080,phone,I have one more question about the next step.,,,
COMMENT-0086,web,"The video visit worked, but I still needed a phone option.",,,
COMMENT-0087,mail,"I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0088,web,I had questions about what the visit or medicine would cost.,,,
COMMENT-0094,mail,"I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0095,web,I had questions about what the visit or medicine would cost. I am not sure which part of the process this comment belongs to.,,,
COMMENT-0096,phone,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0099,web,The team listened to my concern before explaining the next step.,,,
COMMENT-0102,mail,I am not sure which part of the process this comment belongs to.,,,
COMMENT-0111,web,The cost of the recommended follow-up made the plan harder to carry out.,,,
COMMENT-0116,mail,The written plan and spoken explanation did not match for me.,,,
COMMENT-0117,mail,I have one more question about the next step.,,,
COMMENT-0118,mail,The digital instructions were difficult to use on my device.,,,
COMMENT-0119,mail,I wanted a shorter explanation of the plan before leaving. I needed more help understanding when to take each medicine.,,,
COMMENT-0126,phone,The digital instructions were difficult to use on my device. It was hard to find help during the evening or weekend.,,,
COMMENT-0127,web,The medicine list was hard to follow after I got home.,,,
COMMENT-0136,web,The plan did not include a lower-cost option.,,,
COMMENT-0138,phone,Part of the visit was helpful and part was confusing.,,,
COMMENT-0143,web,I did not feel included when the plan changed. I have one more question about the next step.,,,
COMMENT-0144,web,The plan did not say when a change should lead me to call.,,,
COMMENT-0149,web,I did not know who to contact after regular hours.,,,
COMMENT-0157,web,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0164,web,"I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0165,web,I wanted a shorter explanation of the plan before leaving.,,,
COMMENT-0166,web,"I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0168,phone,I have one more question about the next step. The medicine list was hard to follow after I got home.,,,
COMMENT-0175,web,The cost of the recommended follow-up made the plan harder to carry out. I did not know who to contact after regular hours.,,,
COMMENT-0180,mail,I have one more question about the next step. I wanted more time to ask questions and help choose the plan.,,,
COMMENT-0183,web,It was hard to find help during the evening or weekend.,,,
COMMENT-0186,web,I did not feel included when the plan changed.,,,
COMMENT-0188,mail,It was hard to find help during the evening or weekend. I wanted clearer guidance about symptoms that need urgent attention.,,,
COMMENT-0195,phone,It was hard to find help during the evening or weekend. The digital instructions were difficult to use on my device.,,,
COMMENT-0200,mail,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0204,mail,I had questions about what the visit or medicine would cost. The plan named a phone number but did not explain when it was available.,,,
COMMENT-0207,web,The medicine list was hard to follow after I got home.,,,
COMMENT-0209,web,I needed more help understanding when to take each medicine.,,,
COMMENT-0212,web,"The plan did not say when a change should lead me to call. I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0215,mail,The written plan and spoken explanation did not match for me. It was hard to find help during the evening or weekend.,,,
COMMENT-0216,mail,I was not sure which warning signs meant I should call for help.,,,
COMMENT-0217,web,I was not sure which warning signs meant I should call for help.,,,
COMMENT-0227,mail,The plan did not say when a change should lead me to call.,,,
COMMENT-0229,phone,"The plan did not say when a change should lead me to call. The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0237,mail,Part of the visit was helpful and part was confusing.,,,
COMMENT-0240,web,The written plan and spoken explanation did not match for me.,,,
COMMENT-0241,phone,I wanted clearer guidance about symptoms that need urgent attention.,,,
COMMENT-0243,web,I am not sure which part of the process this comment belongs to. The plan named a phone number but did not explain when it was available.,,,
COMMENT-0244,web,The team listened to my concern before explaining the next step.,,,
COMMENT-0247,web,"The video visit worked, but I still needed a phone option.",,,
COMMENT-0250,mail,The cost of the recommended follow-up made the plan harder to carry out.,,,
COMMENT-0258,web,The plan did not say when a change should lead me to call.,,,
COMMENT-0260,mail,The team listened to my concern before explaining the next step.,,,
COMMENT-0263,web,I wanted clearer guidance about symptoms that need urgent attention.,,,
COMMENT-0271,phone,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0276,mail,The written plan and spoken explanation did not match for me. Part of the visit was helpful and part was confusing.,,,
COMMENT-0277,mail,The medicine list was hard to follow after I got home.,,,
COMMENT-0283,web,The digital instructions were difficult to use on my device.,,,
COMMENT-0287,phone,I am not sure which part of the process this comment belongs to.,,,
COMMENT-0299,mail,The plan did not include a lower-cost option.,,,
COMMENT-0300,phone,I wanted clearer guidance about symptoms that need urgent attention.,,,
COMMENT-0306,mail,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0309,mail,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0310,phone,"The video visit worked, but I still needed a phone option.",,,
COMMENT-0313,phone,I wanted more time to ask questions and help choose the plan.,,,
COMMENT-0316,phone,I had questions about what the visit or medicine would cost.,,,
COMMENT-0317,web,The digital instructions were difficult to use on my device.,,,
COMMENT-0321,web,The team listened to my concern before explaining the next step.,,,
COMMENT-0323,web,The medicine list was hard to follow after I got home.,,,
COMMENT-0331,web,The plan did not include a lower-cost option.,,,
COMMENT-0333,mail,"It was hard to find help during the evening or weekend. I knew which medicines changed, but not why.",,,
COMMENT-0335,phone,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0336,web,The written plan and spoken explanation did not match for me.,,,
COMMENT-0338,mail,The medicine list was hard to follow after I got home.,,,
COMMENT-0339,mail,I did not feel included when the plan changed.,,,
COMMENT-0342,phone,"Part of the visit was helpful and part was confusing. I could not tell whether the follow-up was online, by phone, or in person.",,,
COMMENT-0351,web,The plan did not say when a change should lead me to call.,,,
COMMENT-0353,phone,Part of the visit was helpful and part was confusing.,,,
COMMENT-0355,web,"The instructions used clear words, but I still had one question about care at home.",,,
COMMENT-0357,mail,The plan did not include a lower-cost option.,,,
COMMENT-0364,mail,I was not sure which warning signs meant I should call for help.,,,
COMMENT-0369,mail,I had questions about what the visit or medicine would cost.,,,
COMMENT-0372,mail,I did not feel included when the plan changed.,,,
COMMENT-0373,phone,The medicine list was hard to follow after I got home.,,,
COMMENT-0374,phone,The team listened to my concern before explaining the next step.,,,
COMMENT-0376,web,I needed more help understanding when to take each medicine.,,,
COMMENT-0378,mail,I did not feel included when the plan changed.,,,
COMMENT-0379,phone,"I knew which medicines changed, but not why.",,,
COMMENT-0383,mail,The team listened to my concern before explaining the next step.,,,
COMMENT-0387,mail,The plan named a phone number but did not explain when it was available.,,,
COMMENT-0391,mail,I was not sure which warning signs meant I should call for help.,,,
COMMENT-0394,mail,I was not sure which warning signs meant I should call for help. The digital instructions were difficult to use on my device.,,,
COMMENT-0403,phone,The written plan and spoken explanation did not match for me. The plan did not include a lower-cost option.,,,
COMMENT-0406,phone,I wanted more time to ask questions and help choose the plan.,,,
COMMENT-0408,mail,I needed more help understanding when to take each medicine.,,,
COMMENT-0409,mail,"The video visit worked, but I still needed a phone option.",,,
COMMENT-0415,phone,I was not sure which warning signs meant I should call for help.,,,
COMMENT-0418,mail,The digital instructions were difficult to use on my device.,,,
COMMENT-0420,mail,It was hard to find help during the evening or weekend.,,,
