signal_id,signal,denominator,window,review_trigger,owner,action,stop_condition
S01,input schema and identity,all candidate input fields and source files,every simulated run,any changed fingerprint missing field extra prohibited field or type drift,data steward,quarantine input and compare contract,stop immediately for changed identity or prohibited field
S02,missingness and structural blanks,all rows by declared field and structural state,each simulated batch and four-period summary,unexpected missingness change above 10 percentage points or any structural blank coded zero,biostatistical reviewer,trace transformation and rerun validity review,stop when target feature or structural-state meaning is invalid
S03,population and feature drift,all eligible rows by preregistered feature,each simulated batch and four-period summary,standardized difference above 0.20 or value outside accepted range,model-risk lead,investigate source population and transport assumptions,stop if population no longer matches declared purpose
S04,outcome prevalence,all eligible labeled rows,rolling 200 labeled rows or quarterly review,absolute change above 0.05 or fewer than 20 outcomes,clinical informatics reviewer,check label timing completeness and decision meaning,stop performance claims when labels or denominator are inadequate
S05,discrimination,labeled rows with both outcome classes,rolling 200 labeled rows and quarterly review,ROC AUC below 0.55 or interval cannot be estimated,model evaluation reviewer,recalculate with uncertainty and compare baseline,stop use if ranking evidence is absent or unstable
S06,calibration and probability error,all eligible labeled rows,rolling 200 labeled rows and quarterly review,Brier worse than frozen baseline or material calibration departure,biostatistical reviewer,rebuild calibration table and inspect prevalence shift,stop probability interpretation if calibration cannot be supported
S07,threshold consequences,all scored rows with labels,each simulated batch and rolling 200 labels,flag rate changes above 0.20 or sensitivity below 0.50 or PPV below 0.08,clinical model-risk lead,recount confusion consequences and consult users,stop action use for harmful or unreviewable burden
S08,subgroup evidence and suppression,labeled rows within every preregistered group,quarterly or each 200 labeled rows,any group below 50 rows or 10 outcomes or a material harm signal,equity reviewer,suppress unstable metrics and investigate representation,stop differential use or fairness claims
S09,forecast source and reporting coverage,all jurisdiction-week rows and reporting hospitals,each weekly source refresh,changed fingerprint nonweekly order reporting gap above 30 percent or missing benchmark,forecasting reviewer,quarantine refresh and inspect source notice,stop all operational interpretation
S10,pipeline test and agent integrity,all declared tests failures traces and claims,every build and release,any accepted test fails seeded failure is accepted trace is missing or claim lacks independent evidence,responsible-AI reviewer,block release correct record and rerun suite,stop candidate release until every invariant and owner passes
