result_id,output_file,measure_name,numerator_definition,denominator_definition,denominator_n,exclusions,missing_handling,time_window,unit,interpretation_limit,retained_conditions
VP01,variable-profile.csv,One-variable profile: death_date,not applicable; summary over registered field values,available nonblank field values,31,none,retain 343 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,date availability,Available dates describe recorded synthetic deaths only.,N01
VP02,variable-profile.csv,One-variable profile: age_at_index,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,continuous,Five accepted ages are at least 100 and remain included.,N04
VP03,variable-profile.csv,One-variable profile: gender,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,Values preserve the pinned source vocabulary and do not define identity universally.,
VP04,variable-profile.csv,One-variable profile: race,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,Rare categories remain exact internally and require cautious display.,N07
VP05,variable-profile.csv,One-variable profile: ethnicity,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,Values preserve the pinned source vocabulary.,
VP06,variable-profile.csv,One-variable profile: index_class,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,Class describes the selected synthetic index encounter.,
VP07,variable-profile.csv,One-variable profile: index_reason_code,not applicable; summary over registered field values,available nonblank field values,148,none,retain 226 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,text availability,Available values use a smaller denominator; blank is not no reason clinically.,N02
VP08,variable-profile.csv,One-variable profile: index_reason_description,not applicable; summary over registered field values,available nonblank field values,148,none,retain 226 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,text availability,Availability is paired with the source reason code.,N02
VP09,variable-profile.csv,One-variable profile: prior_365d_encounter_count,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,count,Two supported counts above 100 remain included; rows are not unique services.,N05
VP10,variable-profile.csv,One-variable profile: prior_365d_acute_count,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,count,Counts describe source rows in the declared lookback.,
VP11,variable-profile.csv,One-variable profile: prior_365d_condition_count,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,count,"Counts describe source condition rows, not unique clinical burden.",
