dimension,group,people,field_missing,followup_numerator,followup_denominator,followup_proportion,followup_lower95,followup_upper95,followup_support,outcome_events,outcome_non_events,outcome_proportion,outcome_lower95,outcome_upper95,expected_events,observed_expected_ratio,outcome_support,claim_limit
age_band,18-44,276,0,68,276,0.24637681,0.19925268,0.30046405,report with boundary,51,225,0.18478261,0.14343067,0.23478869,49.19683553,1.03665204,report with boundary,synthetic source result does not prove access need preference burden or inequity
age_band,45-64,123,0,34,123,0.27642276,0.20506996,0.36131787,report with boundary,19,104,0.15447154,0.10117792,0.22869418,23.03488189,0.82483601,report with boundary,synthetic source result does not prove access need preference burden or inequity
age_band,65+,77,0,27,77,0.35064935,0.25348675,0.46200576,report with boundary,17,60,0.22077922,0.14266403,0.32543067,14.76828242,1.15111558,report with boundary,synthetic source result does not prove access need preference burden or inequity
source_recorded_gender,F,293,0,74,293,0.25255973,0.20623219,0.30529157,report with boundary,58,235,0.19795222,0.15636487,0.24735723,53.66677539,1.08074315,report with boundary,synthetic source result does not prove access discrimination fairness or inequity
source_recorded_gender,M,183,0,55,183,0.30054645,0.23877687,0.37051756,report with boundary,29,154,0.15846995,0.11266066,0.21832294,33.33322445,0.87000284,report with boundary,synthetic source result does not prove access discrimination fairness or inequity
source_recorded_race,asian,38,0,11,38,0.28947368,0.17003278,0.44757138,report with boundary,,,,,,,,suppress: outcome support rule,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_race,black,45,0,13,45,0.28888889,0.17730082,0.43368541,report with boundary,11,34,0.24444444,0.14235479,0.38673380,8.22085437,1.33806044,report with boundary,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_race,native,6,0,,6,,,,suppress: process support rule,,,,,,,,suppress: outcome support rule,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_race,other,2,0,,2,,,,suppress: process support rule,,,,,,,,suppress: outcome support rule,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_race,white,385,0,102,385,0.26493506,0.22333330,0.31118136,report with boundary,71,314,0.18441558,0.14886004,0.22620659,70.53680076,1.00656677,report with boundary,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_ethnicity,hispanic,40,0,15,40,0.37500000,0.24222979,0.52967561,report with boundary,7,33,0.17500000,0.08745414,0.31949990,7.90796317,0.88518369,report with boundary,synthetic source result does not prove lived identity access discrimination fairness or inequity
source_recorded_ethnicity,nonhispanic,436,0,114,436,0.26146789,0.22243127,0.30467106,report with boundary,80,356,0.18348624,0.14997220,0.22252897,79.09203667,1.01147983,report with boundary,synthetic source result does not prove lived identity access discrimination fairness or inequity
