measure_id,family,name,definition,numerator,denominator,unit,direction,source,timing,cadence,owner,trigger,action,subgroup_rule,missingness_rule
PR01,process,Eligible discharge offer documented,Eligible discharges with an offer state,eligible discharges with offer state,all eligible discharges,proportion,higher,prospective workflow record,at discharge,weekly,Improvement lead,below 0.90,pause expansion and review workflow,report counts before supported rates,missing offer state remains missing and counts against completeness
PR02,process,Preference and acceptance documented,Offered discharges with preference and acceptance state,offered discharges with both states,all offered discharges,proportion,higher,prospective workflow record,at offer,weekly,Patient partnership lead,below 0.90,review choice language and workflow,report counts before supported rates,missing preference or acceptance is not refusal
PR03,process,Appointment state resolved,Accepted offers with a resolved appointment state,accepted offers with scheduled unavailable declined or exception state,all accepted offers,proportion,higher,scheduling record,within declared window,weekly,Scheduling lead,below 0.90,review capacity and exception routing,report counts before supported rates,unknown appointment state remains unknown
OU01,outcome,Thirty-day acute return,Eligible discharges with an acute return within 30 days,eligible discharges with acute return,all eligible discharges,proportion,monitor,approved local clinical source,30 days after discharge,monthly,Clinical decision owner,serious unexpected pattern,refer for safety and methods review,no unsupported group estimate,no imputation for missing follow-up
BA01,balancing,Discharge delay,Eligible discharges with workflow-attributed delay beyond local threshold,delayed eligible discharges,all eligible discharges,proportion,lower,workflow timestamp and exception review,at discharge,weekly,Frontline clinical lead,above locally approved threshold,pause and redesign workflow,review supported counts by group,missing timestamp triggers data-quality review
BA02,balancing,Scheduling workload,Median staff minutes per accepted offer,total measured staff minutes,accepted offers with measured time,minutes,lower,time sample,at scheduling,weekly,Scheduling lead,above declared capacity,pause expansion and adjust staffing,do not rank staff,missing time sample reported
AC01,access,Offer reach by prespecified group,Eligible discharges with offer state by group,group members with offer state,eligible group members,proportion,equal access,prospective workflow and source-recorded group fields,at discharge,weekly,Equity reviewer,unsupported or material concern,retain question and review process,no merging and suppress unsupported rates,group-field and offer-state missingness shown
AC02,access,Completion by prespecified group,Accepted offers with completed follow-up by group,group members with completion,group members accepting offer,proportion,equal access,appointment and completion record,after follow-up window,monthly,Equity reviewer,unsupported or material concern,review barriers without group targeting,no merging and suppress unsupported rates,unknown completion remains unknown
IM01,implementation,Workflow fidelity,Observed cases completing all required workflow states,cases with complete required states,observed eligible cases,proportion,higher,structured observation,during run-in,weekly,Improvement lead,below 0.85,extend run-in and retrain,review workflow not clinician ranking,missing observation reported
DQ01,data-quality,Offer and preference completeness,Eligible discharges with complete offer and preference fields,eligible discharges with both fields complete,all eligible discharges,proportion,higher,prospective workflow record,at discharge,weekly,Data steward,below 0.95,pause inference and correct collection,show missingness by group when supported,no imputation
DQ02,data-quality,Appointment and completion completeness,Accepted offers with resolved appointment and completion states,accepted offers with both states resolved,all accepted offers,proportion,higher,scheduling and completion record,after follow-up window,weekly,Data steward,below 0.90,pause outcome interpretation and correct linkage,show missingness by group when supported,no imputation
