anchor_id,source_id,field_or_measure_id,concept,evidence_role,source_rows,reported_rows,unavailable_rows,period_or_range,decision_use,claim_limit
A01,CMS-TIMELY-2026-08-13,EDV,emergency department volume,demand context,4658,3826,832,2024-01-01 through 2024-12-31,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A02,CMS-TIMELY-2026-08-13,OP_18b,median emergency visit duration,timeliness outcome context,4658,4081,577,2024-10-01 through 2025-09-30,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A03,CMS-TIMELY-2026-08-13,OP_22,left before being seen,access and balancing context,4658,3821,837,2024-01-01 through 2024-12-31,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A04,CMS-COMPLICATIONS-2026-08-13,PSI_90,patient safety and adverse events composite,safety context,4790,2908,1882,2022-07-01 through 2024-06-30,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A05,CMS-COMPLICATIONS-2026-08-13,PSI_04,death among surgical inpatients with serious treatable complications,harm-definition context,4790,1521,3269,2022-07-01 through 2024-06-30,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A06,CMS-COMPLICATIONS-2026-08-13,PSI_03,pressure ulcer rate,specific safety-measure context,4790,3056,1734,2022-07-01 through 2024-06-30,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A07,HHS-CAPACITY-2024-05-03,inpatient_beds_7_day_avg,staffed inpatient capacity,capacity context,15179,15057,122,2020-03-22 through 2024-04-21,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A08,HHS-CAPACITY-2024-05-03,inpatient_beds_used_7_day_avg,inpatient beds used,occupancy context,15179,14807,372,2020-03-22 through 2024-04-21,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A09,HHS-CAPACITY-2024-05-03,total_staffed_adult_icu_beds_7_day_avg,staffed adult ICU capacity,specialized-capacity context,15179,13877,1302,2020-03-22 through 2024-04-21,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
A10,HHS-CAPACITY-2024-05-03,previous_day_total_ED_visits_7_day_sum,weekly emergency visit demand,demand context,15179,10909,4270,2020-03-22 through 2024-04-21,define the future local measure family and evidence needed,does not describe CGH-ED-01 or authorize comparison or action
