measure_id,family,name,numerator,denominator,exclusions,timing,owner,missingness_rule,interpretation,trigger,response
M01,implementation,workflow availability,eligible discharges with workflow available,all eligible discharges,documented rule exclusions,weekly,implementation owner,missing availability fails completeness,availability is not use or benefit,workflow unavailable for any approved route,pause and repair capacity
M02,process,universal offer,eligible discharges with offer recorded,all eligible discharges,none,weekly,workflow owner,no record is not an offer,offer measures reach not preference,offer completeness below approved rule,review missed offers and workflow
M03,process,access choice recorded,people with language channel format proxy and contact choices recorded,people offered participation,declines remain in denominator,weekly,access owner,do not infer missing choice,documentation is not access quality,choice completeness below approved rule,repair collection and language
M04,process,understanding check,people completing or declining the check,people receiving discharge information,documented clinical exemption,weekly,discharge owner,unable decline and missing remain separate,completion is not understanding,unsafe or incomplete check pathway,pause and review workflow
M05,process,safe question routing,unresolved questions with approved route documented,all unresolved questions,none,immediate,clinical safety owner,missing route is a safety failure,routing is not resolution,incorrect delayed or missing route,stop unsafe route and investigate
M06,response,feedback return,completed feedback responses,all consented follow-up opportunities,withdrawn consent excluded with count,weekly,feedback owner,total nonresponse stays visible,response is not representativeness,coverage or channel failure,review frame and alternatives
M07,outcome,Q22 yes,item-answering yes responses,item-answering yes plus no,not applicable under item rule,review cycle,survey lead,item missingness reported separately,teaching result is not official adjusted HCAHPS,invalid score or denominator,stop reporting and correct measure
M08,outcome,Q23 yes,item-answering yes responses,item-answering yes plus no,not applicable under item rule,review cycle,survey lead,item missingness reported separately,teaching result is not official adjusted HCAHPS,invalid score or denominator,stop reporting and correct measure
M09,access,operational alternatives,offers with requested channel language and format available,offers requesting an alternative,no request excluded with count,weekly,access owner,unavailable is not missing,availability is not acceptability,requested route unavailable,pause affected route and repair
M10,balancing,reported burden,respondents reporting burden above agreed limit,people answering burden item,item refusal remains visible,weekly,patient-experience owner,item missingness reported,local item is not a validated scale,burden above partner-approved limit,revise workflow with partners
M11,balancing,unwanted contact,contacts marked unwanted or against preference,all follow-up contacts,none,weekly,privacy owner,missing preference is a process failure,one event requires review,any consent or preference breach,stop contact and investigate
M12,accountability,results returned on time,review cycles with dated patient-facing response,all completed review cycles,none,monthly,accountability owner,missing date fails measure,return may include no change with reason,missed agreed return date,stop progression and assign correction
M13,safety,failed escalation,questions with incorrect delayed or missing safe route,all questions requiring escalation,none,immediate,clinical safety owner,missing resolution remains open,not an outcome attribution,any failed escalation,stop process and review
M14,balancing,staff time,total minutes spent on workflow steps,completed workflow opportunities,none,weekly,operations owner,missing sample count reported,time does not measure patient value,time exceeds approved capacity,adjust staffing or workflow
