measure_id,measure,definition,source,cadence,owner,threshold_origin,trigger,unavailable_state,human_action,automatic_action,claim_limit
M01,eligible opportunities,eligible encounters by declared logic,encounter and eligibility ledger,weekly,clinical owner,Module 04 baseline,outside reviewed baseline by 20 percent,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M02,input availability,complete required prefetch divided by eligible requests,request and input ledgers,daily,data steward,Module 05 failures,below 99 percent,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M03,firing,candidate cards divided by eligible requests,request and response ledgers,weekly,clinical informatics owner,Module 04 burden review,outside candidate-specific expected range,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M04,suppression,suppressed evaluations by declared reason,response and trace ledgers,weekly,clinical owner,Module 05 suppression fixtures,reason missing or shift above 20 percent,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M05,burden,candidate flags per 1000 eligible opportunities,request and response ledgers,weekly,workflow owner,Module 04 alert budget,above 300 per 1000 at the unaccepted 0.03 fixture,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M06,human response,"acknowledged, dismissed, deferred, and unavailable responses",human response ledger,weekly,clinical owner,prospective governance rule,ledger unavailable or response missing,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M07,latency,request to terminal response milliseconds,request and terminal ledgers,daily,service owner,Module 05 teaching budget,P95 above 2000 ms,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M08,errors,visible error responses by type,terminal and notice ledgers,daily,service owner,Module 05 failure matrix,any unexplained error or rate above 1 percent,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M09,silent failure,"received requests without response, terminal trace, or notice",four independent ledgers,daily,patient-safety owner,Module 05 seeded failure,one or more events,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M10,outcome availability,eligible evaluations with observable follow-up outcome,evaluation outcome ledger,monthly,evaluation steward,prospective evaluation rule,below 90 percent or source unavailable,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M11,calibration,absolute difference between mean probability and observed outcome,prediction and outcome ledgers,monthly,model steward,Module 06 replacement rule,above 0.005 holdout reference or 0.010 stress reference,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M12,discrimination,weighted ROC AUC on supported outcome rows,prediction and outcome ledgers,monthly,model steward,Module 03 validation,drop greater than 0.01 from accepted reference,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M13,drift,transport minus holdout performance and burden,"prediction, outcome, and threshold audit",monthly,model steward,Module 03 transport audit,declared replacement rule fails,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M14,subgroup support,"rows, events, follow-up, and performance by declared group",prediction and outcome ledgers,monthly,equity steward,Module 03 support audit,support becomes insufficient or AUC drops more than 0.05,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M15,version,requests and responses using the accepted model and hook versions,request and terminal ledgers,daily,model steward,Module 05 version fixture,any mismatch,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
M16,incidents,open and repeated safety incidents by hazard,incident register,weekly,patient-safety owner,prospective governance rule,one severe or two repeated related incidents,"report unavailable, name the missing source, and do not infer a safe value","verify evidence, investigate, document disposition, and escalate when the trigger persists",none,"historical public or synthetic teaching evidence only; not local validity, clinical utility, threshold acceptance, implementation, or deployment"
