claim_id,claim,status,evidence_required,owner
"CB-01","REPLACE tract-join feasibility claim","REPLACE","REPLACE","REPLACE"
"CB-02","REPLACE PLACES measure claim","REPLACE","REPLACE","REPLACE"
"CB-03","REPLACE observed-case boundary","REPLACE","REPLACE","REPLACE"
"CB-04","REPLACE ACS denominator claim","REPLACE","REPLACE","REPLACE"
"CB-05","REPLACE individual SVI boundary","REPLACE","REPLACE","REPLACE"
"CB-06","REPLACE cross-release SVI boundary","REPLACE","REPLACE","REPLACE"
"CB-07","REPLACE community-review question claim","REPLACE","REPLACE","REPLACE"
"CB-08","REPLACE automatic funding boundary","REPLACE","REPLACE","REPLACE"
"CB-09","REPLACE ecological boundary","REPLACE","REPLACE","REPLACE"
"CB-10","REPLACE unmatched-tract boundary","REPLACE","REPLACE","REPLACE"
"CB-11","REPLACE disparity-versus-inequity boundary","REPLACE","REPLACE","REPLACE"
"CB-12","REPLACE early-analysis boundary","REPLACE","REPLACE","REPLACE"
"CB-13","REPLACE fictional-case boundary","REPLACE","REPLACE","REPLACE"
"CB-14","REPLACE Module 02 progression claim","REPLACE","REPLACE","REPLACE"
