comment_id,benchmark_sample,adjudicated_or_instructor_truth,assisted_theme,matched_rule,correct,human_review_required
COMMENT-0001,no,cost_barrier,cost_barrier,first matched phrase at character 27: lower-cost,yes,yes
COMMENT-0002,no,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0003,no,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0004,no,access_after_hours,other_or_unclear,no match,no,yes
COMMENT-0005,no,medication_help,medication_help,first matched phrase at character 13: medicine,yes,yes
COMMENT-0006,no,warning_signs,warning_signs,first matched phrase at character 32: symptoms,yes,yes
COMMENT-0007,no,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0008,no,cost_barrier,cost_barrier,first matched phrase at character 4: cost,yes,yes
COMMENT-0009,yes,cost_barrier,medication_help,first matched phrase at character 40: medicine,no,yes
COMMENT-0010,no,access_after_hours,access_after_hours,first matched phrase at character 36: evening,yes,yes
COMMENT-0011,yes,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0012,yes,communication_clarity,communication_clarity,first matched phrase at character 69: instructions,yes,yes
COMMENT-0013,no,digital_channel,digital_channel,first matched phrase at character 4: video,yes,yes
COMMENT-0014,no,access_after_hours,access_after_hours,first matched phrase at character 36: evening,yes,yes
COMMENT-0015,yes,respect_involvement,respect_involvement,first matched phrase at character 9: listened,yes,yes
COMMENT-0016,yes,cost_barrier,cost_barrier,first matched phrase at character 4: cost,yes,yes
COMMENT-0017,no,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0018,yes,access_after_hours,other_or_unclear,no match,no,yes
COMMENT-0019,no,communication_clarity,communication_clarity,first matched phrase at character 19: explanation,yes,yes
COMMENT-0020,no,access_after_hours,access_after_hours,first matched phrase at character 30: after regular hours,yes,yes
COMMENT-0021,no,medication_help,medication_help,first matched phrase at character 4: medicine,yes,yes
COMMENT-0022,no,respect_involvement,access_after_hours,first matched phrase at character 36: evening,no,yes
COMMENT-0023,yes,medication_help,medication_help,first matched phrase at character 13: medicine,yes,yes
COMMENT-0024,no,respect_involvement,respect_involvement,first matched phrase at character 45: choose,yes,yes
COMMENT-0025,no,communication_clarity,communication_clarity,first matched phrase at character 4: written plan,yes,yes
COMMENT-0026,yes,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0027,no,cost_barrier,cost_barrier,first matched phrase at character 27: lower-cost,yes,yes
COMMENT-0028,no,warning_signs,other_or_unclear,no match,no,yes
COMMENT-0029,no,warning_signs,warning_signs,first matched phrase at character 32: symptoms,yes,yes
COMMENT-0030,no,communication_clarity,communication_clarity,first matched phrase at character 19: explanation,yes,yes
COMMENT-0031,no,warning_signs,digital_channel,first matched phrase at character 4: digital,no,yes
COMMENT-0032,no,medication_help,medication_help,first matched phrase at character 51: medicine,yes,yes
COMMENT-0033,no,cost_barrier,cost_barrier,first matched phrase at character 4: cost,yes,yes
COMMENT-0034,no,other_or_unclear,respect_involvement,first matched phrase at character 99: choose,no,yes
COMMENT-0035,yes,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0036,yes,medication_help,respect_involvement,first matched phrase at character 9: listened,no,yes
COMMENT-0037,no,respect_involvement,respect_involvement,first matched phrase at character 45: choose,yes,yes
COMMENT-0038,no,medication_help,medication_help,first matched phrase at character 4: medicine,yes,yes
COMMENT-0039,no,communication_clarity,communication_clarity,first matched phrase at character 4: written plan,yes,yes
COMMENT-0040,no,respect_involvement,respect_involvement,first matched phrase at character 9: listened,yes,yes
COMMENT-0041,yes,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0042,no,warning_signs,warning_signs,first matched phrase at character 21: warning signs,yes,yes
COMMENT-0043,no,respect_involvement,medication_help,first matched phrase at character 51: medicine,no,yes
COMMENT-0044,no,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0045,no,cost_barrier,cost_barrier,first matched phrase at character 4: cost,yes,yes
COMMENT-0046,no,medication_help,medication_help,first matched phrase at character 51: medicine,yes,yes
COMMENT-0047,no,respect_involvement,respect_involvement,first matched phrase at character 9: listened,yes,yes
COMMENT-0048,no,medication_help,medication_help,first matched phrase at character 51: medicine,yes,yes
COMMENT-0049,yes,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0050,no,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0051,no,respect_involvement,respect_involvement,first matched phrase at character 15: included,yes,yes
COMMENT-0052,no,communication_clarity,communication_clarity,first matched phrase at character 4: written plan,yes,yes
COMMENT-0053,yes,digital_channel,cost_barrier,first matched phrase at character 4: cost,no,yes
COMMENT-0054,yes,warning_signs,warning_signs,first matched phrase at character 32: symptoms,yes,yes
COMMENT-0055,no,access_after_hours,access_after_hours,first matched phrase at character 36: evening,yes,yes
COMMENT-0056,yes,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0057,no,digital_channel,digital_channel,first matched phrase at character 4: digital,yes,yes
COMMENT-0058,no,medication_help,warning_signs,first matched phrase at character 32: symptoms,no,yes
COMMENT-0059,no,respect_involvement,respect_involvement,first matched phrase at character 15: included,yes,yes
COMMENT-0060,no,warning_signs,warning_signs,first matched phrase at character 21: warning signs,yes,yes
COMMENT-0061,yes,cost_barrier,cost_barrier,first matched phrase at character 27: lower-cost,yes,yes
COMMENT-0062,yes,access_after_hours,access_after_hours,first matched phrase at character 30: after regular hours,yes,yes
COMMENT-0063,no,medication_help,medication_help,first matched phrase at character 13: medicine,yes,yes
COMMENT-0064,yes,cost_barrier,cost_barrier,first matched phrase at character 4: cost,yes,yes
COMMENT-0065,no,access_after_hours,other_or_unclear,no match,no,yes
COMMENT-0066,yes,medication_help,medication_help,first matched phrase at character 4: medicine,yes,yes
COMMENT-0067,no,respect_involvement,respect_involvement,first matched phrase at character 15: included,yes,yes
COMMENT-0068,no,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0069,yes,medication_help,medication_help,first matched phrase at character 51: medicine,yes,yes
COMMENT-0070,no,digital_channel,digital_channel,first matched phrase at character 4: digital,yes,yes
COMMENT-0071,no,warning_signs,other_or_unclear,no match,no,yes
COMMENT-0072,no,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0073,no,digital_channel,digital_channel,first matched phrase at character 4: video,yes,yes
COMMENT-0074,yes,respect_involvement,respect_involvement,first matched phrase at character 45: choose,yes,yes
COMMENT-0075,no,warning_signs,cost_barrier,first matched phrase at character 27: lower-cost,no,yes
COMMENT-0076,no,warning_signs,cost_barrier,first matched phrase at character 4: cost,no,yes
COMMENT-0077,yes,digital_channel,digital_channel,first matched phrase at character 43: online,yes,yes
COMMENT-0078,yes,access_after_hours,other_or_unclear,no match,no,yes
COMMENT-0079,no,respect_involvement,respect_involvement,first matched phrase at character 15: included,yes,yes
COMMENT-0080,yes,other_or_unclear,other_or_unclear,no match,yes,yes
COMMENT-0081,no,access_after_hours,access_after_hours,first matched phrase at character 36: evening,yes,yes
COMMENT-0082,no,communication_clarity,communication_clarity,first matched phrase at character 4: written plan,yes,yes
COMMENT-0083,no,medication_help,medication_help,first matched phrase at character 4: medicine,yes,yes
COMMENT-0084,no,respect_involvement,respect_involvement,first matched phrase at character 15: included,yes,yes
COMMENT-0085,no,communication_clarity,communication_clarity,first matched phrase at character 4: instructions,yes,yes
COMMENT-0086,yes,digital_channel,digital_channel,first matched phrase at character 4: video,yes,yes
COMMENT-0087,yes,digital_channel,digital_channel,first matched phrase at character 43: online,yes,yes
COMMENT-0088,yes,cost_barrier,medication_help,first matched phrase at character 40: medicine,no,yes
COMMENT-0089,no,digital_channel,digital_channel,first matched phrase at character 4: digital,yes,yes
