measure_id,name,family,type,unit,direction,numerator_or_summary,denominator_or_population,exclusions,event_clock,attribution,reporting_window,refresh_cadence,owner,threshold_origin,unavailable_state,interpretation_limit
M01,Accepted arrivals,demand,count,encounters,context only,Count of accepted adult encounter arrivals,All accepted CGH-ED-01 adult encounters,"duplicate, quarantined, and underage raw rows",First valid arrival,Arrival shift,shift and week,after every source refresh,measure steward,no threshold in Module 02,not applicable for an accepted encounter,Does not establish demand cause or needed capacity
M02,Arrival to triage,access,median duration,minutes,lower may be favorable,Median minutes from arrival to triage,Accepted encounters with both valid event times,"invalid sequence or unavailable arrival or triage",arrival_at to triage_at,Arrival shift,shift and week,after every source refresh,access lead,no threshold in Module 02,report unavailable count beside the median,Does not identify the cause of delay
M03,Arrival to clinician,access,median duration,minutes,lower may be favorable,Median minutes from arrival to first clinician contact,Accepted encounters with both valid event times,"left before seen, invalid sequence, or unavailable clinician time",arrival_at to clinician_at,Arrival shift,shift and week,after every source refresh,clinical operations lead,no threshold in Module 02,report clinician_time_unavailable beside the median,Does not prove a bottleneck or staffing need
M04,Arrival to departure,flow,median duration,minutes,lower may be favorable,Median minutes from arrival to departure,Accepted encounters with a valid complete clock,"invalid sequence or unavailable departure",arrival_at to departure_at,Arrival shift,shift and week,after every source refresh,flow lead,no threshold in Module 02,report invalid and unavailable clocks,Does not isolate a process stage or cause
M05,Left before seen,balancing,rate,percent,lower may be favorable,Accepted encounters with left_before_seen_flag equal to 1,All accepted adult encounters,"none after accepted-population rules",arrival_at to departure_at,Arrival shift,shift and week,after every source refresh,access lead,no threshold in Module 02,not available when disposition state is missing,Does not explain why an encounter ended before clinician contact
M06,Return within 72 hours,outcome,rate,percent,context only,Accepted encounters with a later linked return within 72 hours,Completed accepted encounters,"unlinked or ineligible encounters",prior departure_at to later arrival_at,Prior departure shift,week,after every source refresh,quality lead,no threshold in Module 02,report unavailable when person or link token is absent,Zero in this synthetic release is not evidence of clinical success
M07,Process completion,process,rate,percent,higher may be favorable,Accepted encounters with the required terminal state,All accepted adult encounters,"none after accepted-population rules",arrival_at through disposition and departure,Arrival shift,shift and week,after every source refresh,process owner,no threshold in Module 02,report missing terminal state,Does not establish care quality
M08,Valid event sequence,data quality,rate,percent,higher is favorable,Accepted encounters whose required recorded events are nondecreasing,All accepted adult encounters,"none; missing required states fail the validity rule",arrival through departure,Arrival shift,release and week,after every source refresh,data steward,100 percent required for duration use,retain invalid records but suppress invalid durations,Measures data usability rather than service performance
M09,Safety event candidate rate,safety,rate,events per 1000 completed encounters,lower is not inherently favorable,Accepted reviewed candidates,Completed accepted encounters,"duplicate or orphan candidates",candidate event time,Encounter arrival shift,week and release,after every safety refresh,safety lead,no threshold in Module 02,report unavailable when candidate review is incomplete,Candidate frequency is not harm prevalence
M10,Trigger sensitivity,safety,diagnostic percent,percent,higher is favorable,Known true synthetic events detected by a trigger,All known true synthetic events,"none in the generated truth set",candidate review clock,Release,release,after every safety refresh,safety analytics owner,generated truth comparison,unavailable when known truth is absent,Applies only to the synthetic detection system
M11,Incident capture sensitivity,safety,diagnostic percent,percent,higher is favorable,Known true synthetic events captured by incident reporting,All known true synthetic events,"none in the generated truth set",candidate review clock,Release,release,after every safety refresh,safety analytics owner,generated truth comparison,unavailable when known truth is absent,Applies only to synthetic capture and not real reporting culture
M12,Completed throughput,flow,count,encounters,context only,Count of accepted completed encounters,All accepted adult encounters,"left before seen or no valid completion",arrival through departure,Arrival shift,shift and week,after every source refresh,flow lead,no threshold in Module 02,report unavailable when completion state is unresolved,Does not show whether higher throughput is safe or sustainable
M13,Queue end,flow,snapshot count,encounters waiting,lower may be favorable,Conserved queue at the end of each 30-minute interval,Accepted queue interval,"intervals that fail conservation until repaired",interval_start to interval_end,Queue interval,interval and shift,after every queue refresh,flow data owner,no threshold in Module 02,retain unavailable when conservation inputs are missing,Does not identify which stage or resource caused a queue
M14,Clinician staff hours per arrival,capacity,ratio,hours per encounter,context only,Accepted clinician actual staff hours,Accepted arrivals in the same shift,"shifts with unavailable hours or zero arrivals",arrival shift,Arrival shift,shift and week,after every staffing refresh,workforce data owner,no threshold in Module 02,unavailable when either ratio term is absent,Does not authorize staffing change or define adequate coverage
M15,Throughput per clinician hour,capacity,ratio,completed encounters per hour,context only,Completed accepted encounters,Accepted clinician actual staff hours in the same shift,"shifts with unavailable or zero clinician hours",arrival shift,Arrival shift,shift and week,after every staffing refresh,workforce data owner,no threshold in Module 02,unavailable when either ratio term is absent,Is not productivity judgment or a staffing target
M16,Overtime hours,workforce,balancing total,hours,lower may be favorable,Sum of accepted overtime hours,Accepted role-shift staffing records,"invalid hours until repaired",staffing shift,Shift,shift and week,after every staffing refresh,workforce lead,no threshold in Module 02,report unavailable when hours cannot be reconstructed,Does not prove burden or justify staffing action
M17,Supported access-group stratification,equity,support diagnostic,encounters,context only,Count of eligible accepted encounters by declared support group,All accepted adult encounters,"groups outside the declared synthetic support vocabulary",arrival through departure,Arrival shift,release and week,after every source refresh,equity and access lead,minimum 1000 encounters for this teaching release,suppress comparative interpretation below support threshold,Generated group differences do not describe real patients or prove inequity
