issue_id,category,table_scope,field_name,rule,expected_count,severity,blocking,likely_cause,analytic_consequence,expected_response,owner,teaching_purpose
D01,uniqueness,defective,patient_id,Exact duplicate person rows beyond the first patient row.,5,blocking,yes,deterministic teaching defect,Changes person denominators and weights duplicated people twice.,Remove only manifest-appended duplicates and verify one row per patient.,learner data analyst,Grain determines whether repetition is a defect.
D02,completeness,defective,index_encounter_id,Required index encounter ID is blank.,3,blocking,yes,deterministic teaching defect,Breaks index traceability and key completeness.,Restore the accepted index key.,learner data analyst,Required keys cannot be imputed or left blank.
D03,validity,defective,age_at_index,Age at index is below 18.,3,blocking,yes,deterministic teaching defect,Contradicts cohort eligibility.,Restore the accepted age.,learner data analyst,A derived value must remain consistent with inclusion rules.
D04,validity,defective,age_at_index,Age at index exceeds 120.,2,blocking,yes,deterministic teaching defect,Implausible teaching value distorts age summaries.,Restore the accepted age.,learner data analyst,Validity bounds differ from review thresholds.
D05,conformance,defective,index_start,Index start is not a parseable UTC timestamp.,3,blocking,yes,deterministic teaching defect,Breaks time zero and temporal analysis.,Restore the accepted timestamp.,learner data analyst,A string can be nonblank but nonconforming.
D06,temporal consistency,defective,index_stop,Index stop occurs before index start.,3,blocking,yes,deterministic teaching defect,Produces an impossible encounter interval and invalid follow-up origin.,Restore the accepted stop timestamp.,learner data analyst,Cross-field order matters after type checks pass.
D07,vocabulary validity,defective,index_class,Index class is outside the acute vocabulary even after case normalization.,2,blocking,yes,deterministic teaching defect,Contradicts cohort eligibility and grouping.,Restore the accepted class.,learner data analyst,Unknown codes differ from case drift.
D08,coding drift,defective,index_class,Index class has a noncanonical case variant.,3,material,no,deterministic teaching defect,Splits groups in case-sensitive analysis.,Restore canonical lowercase and document drift.,learner data analyst,Standardization must be explicit and reversible.
D09,validity,defective,prior_365d_encounter_count,Encounter-history count is negative.,3,blocking,yes,deterministic teaching defect,Invalidates history summaries.,Restore the accepted nonnegative count.,learner data analyst,Counts have domain constraints.
D10,cross-field consistency,defective,prior_365d_acute_count,Acute-history count exceeds all encounter history.,3,blocking,yes,deterministic teaching defect,Violates numerator-parent count logic.,Restore the accepted count pair.,learner data analyst,Valid single fields can conflict together.
D11,completeness,defective,gender,Required source gender is blank.,4,material,yes,deterministic teaching defect,Creates unsupported missingness and changes subgroup denominators.,Restore the accepted value.,learner data analyst,Required and optional missingness need different responses.
D12,vocabulary validity,defective,gender,Gender value is outside M or F in this pinned source contract.,3,material,yes,deterministic teaching defect,Creates an unregistered category.,Restore the accepted value and preserve source meaning.,learner data analyst,"Vocabulary checks are release-specific, not universal identity rules."
D13,cross-field consistency,defective,next_30d_state,No-encounter state has one or more next-event companion values.,3,blocking,yes,deterministic teaching defect,Contradicts explicit absence and can double-count follow-up.,Restore all three blank companion fields.,learner data analyst,Missingness must agree with the state label.
D14,cross-field consistency,defective,next_30d_state,Recorded next state lacks one or more required companion values.,3,blocking,yes,deterministic teaching defect,Prevents timing and event traceability.,Restore all accepted companion fields.,learner data analyst,A label alone is not a complete event record.
D15,temporal validity,defective,next_30d_days_after_index_stop,Next-event elapsed days are at or below zero.,2,blocking,yes,deterministic teaching defect,Places follow-up at or before the follow-up origin.,Restore the accepted elapsed value.,learner data analyst,Open-left boundaries require greater than zero.
D16,temporal validity,defective,next_30d_days_after_index_stop,Next-event elapsed days exceed 30.,2,blocking,yes,deterministic teaching defect,Places an event outside the declared window.,Restore the accepted elapsed value.,learner data analyst,Closed-right boundaries still need an upper limit.
D17,vocabulary validity,defective,acute_return_90d,Acute-return flag is outside 0 or 1.,3,blocking,yes,deterministic teaching defect,Breaks binary summaries and endpoint logic.,Restore the accepted flag.,learner data analyst,Numeric-looking flags still need vocabulary checks.
D18,endpoint consistency,defective,endpoint_90d,Death flag equals 1 but endpoint is not Death.,2,blocking,yes,deterministic teaching defect,Violates declared endpoint precedence.,Restore the accepted endpoint.,learner data analyst,"Precedence is a cross-field rule, not a label preference."
D19,provenance conformance,defective,source_release,Source-release label differs from synthea-csv-apr2020.,2,blocking,yes,deterministic teaching defect,Breaks provenance and may mix releases silently.,Restore the accepted source label.,learner data analyst,"Version fields are analytic data, not decoration."
D20,version conformance,defective,cohort_definition_version,Cohort-definition version differs from 0.1.0.,2,blocking,yes,deterministic teaching defect,Breaks the frozen cohort contract.,Restore the accepted cohort version.,learner data analyst,Downstream work must pin the definition it uses.
N01,structural optionality,accepted,death_date,Death date is blank in the accepted table.,343,condition,no,accepted synthetic source characteristic,Death-specific denominators differ from the full cohort.,Retain missing values and state the denominator.,Module 05 clinical analytics reviewer,High missingness can be correct for an optional event.
N02,structural optionality,accepted,index_reason_code,Index reason code and description are both blank.,226,condition,no,accepted synthetic source characteristic,Reason-specific descriptions have a smaller available denominator.,Retain paired missingness and document availability.,Module 05 clinical analytics reviewer,"Optional paired fields need consistency, not imputation."
N03,structural consistency,accepted,next_30d_state,No-encounter state has all three companion fields blank.,263,condition,no,accepted synthetic source characteristic,The source cannot establish whether care occurred elsewhere.,Retain explicit state and blank companions.,Module 05 clinical analytics reviewer,Explicit absence differs from no care.
N04,extreme review,accepted,age_at_index,Age at index is at least 100.,5,review,no,accepted synthetic source characteristic,Extreme ages may influence summaries.,Review against source and retain unless disproven.,Module 05 clinical analytics reviewer,Extreme is not automatically invalid.
N05,extreme review,accepted,prior_365d_encounter_count,Prior encounter count exceeds 100.,2,review,no,accepted synthetic source characteristic,A small number of rows may dominate count summaries.,Review source history and retain with robust summaries.,Module 05 clinical analytics reviewer,High utilization is not automatically a duplicate.
N06,extreme review,accepted,prior_365d_medication_count,Prior medication count exceeds 100.,1,review,no,accepted synthetic source characteristic,One row may dominate count summaries.,Review source rows and retain with a condition.,Module 05 clinical analytics reviewer,Row counts are not necessarily unique therapies.
N07,small-cell caution,accepted,race,Rows belong to race categories with fewer than 10 cohort rows.,6,condition,no,accepted synthetic source characteristic,Public display may expose unstable or overinterpreted tiny groups.,Retain internally and apply audience-specific display caution.,Module 05 clinical analytics reviewer,Rare categories are not data errors.
N08,small-cell caution,accepted,next_30d_state|endpoint_90d,Rows belong to urgent-care next state or Death endpoint cells.,12,condition,no,accepted synthetic source characteristic,Small outcome cells can be overinterpreted.,Retain exact internal counts and limit claims and display.,Module 05 clinical analytics reviewer,A teaching threshold is not a universal suppression law.
