gate_id,gate,status,evidence,reviewer_note
G01,Accepted Checkpoint 1 and Checkpoint 2 identities preserved,,,
G02,Source cohort split label feature and pipeline identities fixed,,,
G03,No leaked post-index or future predictor,,,
G04,Baseline and untouched-test evidence visible,,,
G05,Metric numerators denominators and uncertainty visible,,,
G06,Calibration and threshold evidence present,,,
G07,Four outcomes and sparse subgroup evidence visible,,,
G08,Validity conditions and specialist boundaries carried,,,
G09,Forecast remains a separate public aggregate case,,,
G10,Tests pass and seeded failures reject as intended,,,
G11,AI trace independent evidence and human owner complete,,,
G12,Model card states synthetic source and prohibited use,,,
G13,Monitoring retraining rollback stop and retirement owned,,,
G14,Accessible exact tables and structured alternatives present,,,
G15,Clean reproduction and 143-row manifest pass,,,
G16,Ten-question defense adequate,,,
G17,Package disposition and model-use recommendation separate,,,
G18,Prohibited deployment clinical causal fairness and population claims absent,,,
