measure_id,domain,measure,evidence_state,accepted_value,unit,source_path,owner,review_cadence,decision_use,leadership_response,definition_changed
M01,process,weekly median arrival-to-clinician,simulated planning baseline,60.035963,minutes,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,flow lead,weekly,investigate delay above the accepted threshold,verify source stratify signal and retain no-change fallback,0
M02,process,weekly 90th percentile arrival-to-clinician,simulated planning baseline,136.453267,minutes,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,flow lead,weekly,review tail delay above the accepted threshold,review tail periods and demand and retain no-change fallback,0
M03,outcome,weekly median arrival-to-departure,simulated planning baseline,105.400000,minutes,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,clinical operations lead,weekly,interpret outcome with disposition mix,retain as context and do not claim effect,0
M04,access,left before seen,simulated planning baseline,11.914912,percent,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,access lead,weekly,investigate access above the accepted threshold,verify denominator and support groups,0
M05,flow,completed throughput,simulated planning baseline,772.500000,encounters per week,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,flow lead,weekly,interpret throughput with demand and abandonment,retain as context rather than productivity proof,0
M06,capacity,clinician utilization,simulated planning baseline,84.996853,percent,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,workforce data owner,weekly,review sustained high and low values,review assumptions without setting staffing,0
M07,workforce,overtime hours,simulated planning reference,7.923167,hours per week,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,workforce lead,weekly,investigate above the accepted reference threshold,review workload and coverage assumptions,0
M08,safety,reviewed safety-event candidates,unavailable prospectively,unavailable,events per 1000 completed,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,safety lead,weekly and event review,open immediate clinical review for any candidate,report unavailable until a governed source exists,0
M09,outcome,return within 72 hours,unavailable prospectively,unavailable,percent,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,quality lead,weekly,interpret only after follow-up completeness passes,report unavailable and repair completeness,0
M10,access,language-support arrival-to-clinician gap,simulated planning baseline,0.000000,minutes,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,access lead,weekly,pause review above 5 minutes worse,verify group completeness and process,0
M11,access,mobility-support arrival-to-clinician gap,simulated planning baseline,0.241085,minutes,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,access lead,weekly,pause review above 5 minutes worse,verify group completeness and process,0
M12,workforce,interruptions and perceived workload,unavailable prospectively,unavailable,prospective instrument units,evidence/checkpoint2/candidate/module-06/outputs/monitoring-measures.csv,workforce lead,each shift and weekly,require a baseline before any test,collect a governed baseline and retain no-test status,0
