measure_id,domain,measure,value,unit,evidence_state,source_period,denominator,draft_threshold,escalation,owner,review_cadence,claim_limit
M01,process,weekly median arrival-to-clinician,60.035963,minutes,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,70.035963,investigate above threshold,flow lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M02,process,weekly 90th percentile arrival-to-clinician,136.453267,minutes,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,151.453267,investigate above threshold,flow lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M03,outcome,weekly median arrival-to-departure,105.400000,minutes,simulated planning baseline,Module 05 C02 no-change median,completed encounters,context only,review with disposition mix,clinical operations lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M04,access,left before seen,11.914912,percent,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,12.914912,investigate above threshold,access lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M05,flow,completed throughput,772.500000,encounters per week,simulated planning baseline,Module 05 C02 no-change median,eligible arrivals,context only,interpret with demand and abandonment,flow lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M06,capacity,clinician utilization,84.996853,percent,simulated planning baseline,Module 05 C02 no-change median,modeled available clinician time,context only,review sustained high and low values,workforce data owner,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M07,workforce,overtime hours,7.923167,hours per week,simulated planning reference,Module 05 C02 no-change median,modeled scheduled clinician-hours,8.715484,investigate above threshold,workforce lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M08,safety,reviewed safety-event candidates,unavailable,events per 1000 completed,unavailable prospectively,prospective source not available,completed encounters,any reviewed candidate,immediate clinical review,safety lead,weekly and event review,monitoring evidence; no causal effect without an authorized design and supporting evidence
M09,outcome,return within 72 hours,unavailable,percent,unavailable prospectively,prospective source not available,eligible discharges with complete follow-up,follow-up completeness required,interpret only after completeness passes,quality lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M10,access,language-support arrival-to-clinician gap,0.000000,minutes,simulated planning baseline,Module 05 C02 no-change median,language-support and standard eligible arrivals,5.000000,pause review above 5 minutes worse,access lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M11,access,mobility-support arrival-to-clinician gap,0.241085,minutes,simulated planning baseline,Module 05 C02 no-change median,mobility-support and standard eligible arrivals,5.000000,pause review above 5 minutes worse,access lead,weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
M12,workforce,interruptions and perceived workload,unavailable,prospective instrument units,unavailable prospectively,prospective source not available,participating workforce respondents,baseline required,collect before any test,workforce lead,each shift and weekly,monitoring evidence; no causal effect without an authorized design and supporting evidence
