measure_id,domain,measure,unit,direction,display,baseline,review_rule,owner,unavailable_state,claim_limit
M01,process,weekly median arrival-to-clinician,minutes,lower may be favorable,XmR,Weeks 1-24 provisional baseline,existing three signal rules,flow lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M02,process,weekly 90th percentile arrival-to-clinician,minutes,lower may be favorable,run chart,pre-test stabilization period,review any sustained directional run,flow lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M03,outcome,weekly median arrival-to-departure,minutes,lower may be favorable,run chart,pre-test stabilization period,review with disposition mix,clinical operations lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M04,access,left before seen,percent,lower may be favorable,p-chart,Weeks 1-24 provisional baseline,existing three signal rules,access lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M05,flow,completed throughput,encounters per week,context only,run chart,pre-test stabilization period,interpret with demand and abandonment,flow lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M06,capacity,clinician utilization,percent,context only,run chart,pre-test stabilization period,review high and low sustained values,workforce data owner,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M07,workforce,overtime hours,hours per week,lower may be favorable,run chart,pre-test stabilization period,review any sustained increase,workforce lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M08,safety,reviewed safety-event candidates,events per 1000 completed,lower is not inherently favorable,exact Poisson u-chart,Weeks 1-24 provisional baseline,retain reporting undercapture review,safety lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M09,outcome,return within 72 hours,percent,context only,p-chart,pre-test stabilization period,review with follow-up completeness,quality lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M10,access,language-support arrival-to-clinician gap,minutes,lower may be favorable,exact table and run chart,pre-test stabilization period,report support and unavailable states,access lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M11,access,mobility-support arrival-to-clinician gap,minutes,lower may be favorable,exact table and run chart,pre-test stabilization period,report support and unavailable states,access lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
M12,workforce,interruptions and perceived workload,prospective instrument units,lower may be favorable,exact table,no accepted baseline yet,collect before any test,workforce lead,report unavailable and do not impute when source or denominator is incomplete,monitoring evidence; no causal effect without an authorized design and supporting evidence
