condition_id,condition,owner,verifier,status,blocks
C01,Assign the official APP-5 section and half-term dates,program director,registrar,open,alpha
C02,Confirm PLACES ACS SVI and synthetic source identities and roles,public-data lead,independent source reviewer,open,alpha
C03,Confirm adult denominator age bands margin method rates intervals and standard population,biostatistics lead,epidemiology reviewer,open,alpha
C04,Confirm group labels race and ethnicity standards language and disability terms,equity lead,standards and access reviewers,open,alpha
C05,Confirm primary and comparison references summary measure and uncertainty interpretation,biostatistics lead,independent methods reviewer,open,alpha
C06,Review missingness representation capture linkage exclusion and conditioned geography claims,equity lead,community reviewer,open,alpha
C07,Review the selection linkage and measurement-bias register,epidemiology lead,population-health clinical reviewer,open,alpha
C08,Confirm event and denominator thresholds complementary suppression and non-reconstruction,privacy lead,independent privacy reviewer,open,alpha
C09,Confirm community review disagreement recourse pause and stop rights,community-engagement lead,community reviewer,open,alpha
C10,Verify exact accessible alternatives and language and disability access,accessibility lead,language and disability reviewers,open,alpha
C11,Review agent use claim limits and human accountability,responsible-AI lead,course director,open,alpha
C12,Complete clean independent reproduction of all three modules and the checkpoint,independent reproducer,course director,open,alpha
