gate_id,gate,status,evidence,reviewer_note
G01,Accepted Checkpoint 1 and Checkpoint 2 identities preserved,pass,nested Checkpoint 2 package and manifest,all 130 files validate
G02,Source cohort split label feature and pipeline identities fixed,pass,evidence index and nested contracts,374 and 224/75/75 retained
G03,No leaked post-index or future predictor,pass,nested model contract and tests,LEAK01 ineligible and future fits rejected
G04,Baseline and untouched-test evidence visible,pass,model card and performance appendix,baseline and 75-row test explicit
G05,Metric numerators denominators and uncertainty visible,pass,performance appendix,four outcomes and intervals retained
G06,Calibration and threshold evidence present,pass,model card and performance appendix,Brier and 0.08513264 consequences explicit
G07,Four outcomes and sparse subgroup evidence visible,pass,subgroup review and appendix,five suppressions retained
G08,Validity conditions and specialist boundaries carried,pass,evidence index model card and conditions,selection missingness dependence and censoring bounded
G09,Forecast remains a separate public aggregate case,pass,model card appendix and evidence E05,no hospital or operations claim
G10,Tests pass and seeded failures reject as intended,pass,nested Module 06 summary,18 pass and ten intended rejections
G11,AI trace independent evidence and human owner complete,pass,AI-use and human-sign-off records,assistance is not evidence
G12,Model card states synthetic source and prohibited use,pass,model-card.md,teaching-only and prohibitions explicit
G13,Monitoring retraining rollback stop and retirement owned,pass,monitoring and lifecycle records,ten signals have owners and actions
G14,Accessible exact tables and structured alternatives present,pass,accessibility review and nested alternatives,exact CSV routes retained
G15,Clean reproduction and 143-row manifest pass,pass,reproducibility audit and release manifest,two clean targets match
G16,Ten-question defense adequate,pass,technical-defense.md,ten cited answers and adequate status
G17,Package disposition and model-use recommendation separate,pass,model-use and progression records,accept with conditions differs from teaching only
G18,Prohibited deployment clinical causal fairness and population claims absent,pass,model card use recommendation and stop rules,no prohibited claim
