field_id,table,field,data_type,grain,field_class,definition,missing_meaning,allowed_use,prohibited_interpretation
D001,encounters.csv.gz,encounter_id,text,one raw encounter row plus one seeded duplicate,synthetic source,stable synthetic encounter identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D002,encounters.csv.gz,person_id,text,one raw encounter row plus one seeded duplicate,synthetic source,stable synthetic person token used only for return linkage,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D003,encounters.csv.gz,service_id,text,one raw encounter row plus one seeded duplicate,synthetic source,fictional service identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D004,encounters.csv.gz,arrival_shift_id,text,one raw encounter row plus one seeded duplicate,synthetic source,arrival shift assigned from the recorded arrival time,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D005,encounters.csv.gz,arrival_at,UTC timestamp,one raw encounter row plus one seeded duplicate,synthetic source,recorded encounter arrival timestamp,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D006,encounters.csv.gz,age_years,integer,one raw encounter row plus one seeded duplicate,synthetic source,synthetic age at arrival in completed years,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D007,encounters.csv.gz,acuity,integer,one raw encounter row plus one seeded duplicate,synthetic source,synthetic five-level urgency category where 1 is highest urgency,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D008,encounters.csv.gz,arrival_mode,text,one raw encounter row plus one seeded duplicate,synthetic source,synthetic arrival mode,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D009,encounters.csv.gz,access_support_group,text,one raw encounter row plus one seeded duplicate,synthetic source,synthetic service-support category used to test access measurement,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D010,encounters.csv.gz,disposition,text,one raw encounter row plus one seeded duplicate,synthetic source,recorded encounter disposition,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D011,encounters.csv.gz,departure_at,UTC timestamp,one raw encounter row plus one seeded duplicate,synthetic source,recorded encounter departure timestamp,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D012,encounters.csv.gz,left_before_seen_flag,integer,one raw encounter row plus one seeded duplicate,synthetic source,1 when the encounter ended before clinician contact,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D013,encounters.csv.gz,return_to_encounter_id,text,one raw encounter row plus one seeded duplicate,synthetic source,prior encounter linked to a synthetic return within 72 hours,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D014,encounters.csv.gz,return_within_72h_flag,integer,one raw encounter row plus one seeded duplicate,synthetic source,1 when a later synthetic encounter links back within 72 hours,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D015,encounters.csv.gz,source_row_status,text,one raw encounter row plus one seeded duplicate,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D016,encounters.csv.gz,defect_flag,integer,one raw encounter row plus one seeded duplicate,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D017,encounters.csv.gz,synthetic_flag,integer,one raw encounter row plus one seeded duplicate,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D018,process-events.csv.gz,event_id,text,one recorded event state per encounter and time,synthetic source,stable synthetic process-event identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D019,process-events.csv.gz,encounter_id,text,one recorded event state per encounter and time,synthetic source,stable synthetic encounter identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D020,process-events.csv.gz,service_id,text,one recorded event state per encounter and time,synthetic source,fictional service identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D021,process-events.csv.gz,event_type,text,one recorded event state per encounter and time,synthetic source,declared process state,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D022,process-events.csv.gz,event_at,UTC timestamp,one recorded event state per encounter and time,synthetic source,recorded process-event timestamp,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D023,process-events.csv.gz,event_sequence,integer,one recorded event state per encounter and time,synthetic source,expected order of the process state,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D024,process-events.csv.gz,source_row_status,text,one recorded event state per encounter and time,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D025,process-events.csv.gz,defect_flag,integer,one recorded event state per encounter and time,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D026,process-events.csv.gz,synthetic_flag,integer,one recorded event state per encounter and time,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
