comment_id,primary_theme,secondary_theme,ambiguous,secondary_text_first,primary_template_id,secondary_template_id,generation_rule
COMMENT-0001,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0002,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0003,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0004,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0005,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0006,warning_signs,,no,no,warning_signs-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0007,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0008,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0009,cost_barrier,,no,no,cost_barrier-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0010,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0011,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0012,communication_clarity,other_or_unclear,yes,yes,communication_clarity-T1,other_or_unclear-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0013,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0014,access_after_hours,digital_channel,yes,no,access_after_hours-T2,digital_channel-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0015,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0016,cost_barrier,medication_help,yes,no,cost_barrier-T1,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0017,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0018,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0019,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0020,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0021,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0022,respect_involvement,access_after_hours,yes,yes,respect_involvement-T1,access_after_hours-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0023,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0024,respect_involvement,,no,no,respect_involvement-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0025,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0026,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0027,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
