gate_id,gate,result,evidence,reviewer,condition_id
G01,"Exact accepted Module 07 version and candidate","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G02,"Exact 90-row candidate manifest","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G03,"Exact 100-file final tree","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G04,"Repository, commit, semantic version, and tag identity","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G05,"Exact source archive and rights","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G06,"Exact analytic grain and fingerprint","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G07,"Deterministic cohort and conserved counts","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G08,"D01 through D20 resolution preserved","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G09,"N01 through N08 conditions preserved","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G10,"Exact descriptive denominators and interval meaning","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G11,"Exact F01 through F03 evidence and equivalent access","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G12,"Complete pipeline source and declared environment","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G13,"Clean reproduction and exact output comparison","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G14,"No hidden dependency or manual output edit","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G15,"No prohibited data, archive, database, secret, or credential","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G16,"Complete data brief, limitations, change log, release notes, and checklist","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G17,"Complete material AI disclosure and independent audit","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G18,"Adequate accessible technical defense","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G19,"Complete reviewer, condition, and final-disposition records","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
G20,"No unsupported real-world or causal claim","[REPLACE: pass, pass with condition, or fail]","[REPLACE: evidence]","[REPLACE: reviewer]","[REPLACE: condition ID or none]"
