role,fields,field_names,expected_model_use
baseline_predictor,4,index_encounter_class|age_at_index|prior_365d_acute_count|prior_365d_condition_count,yes
censoring,1,censor_reason,no
censoring_audit,1,later_death_before_event_flag,no
censoring_boundary,1,administrative_end_datetime,no
comparison_group,1,teaching_site_id,no
competing_event_audit,2,later_death_flag|later_death_date,no
equity_audit_only,3,gender|race|ethnicity,no
excluded_baseline_candidate,1,prior_365d_encounter_count,no
exposure,2,scheduled_followup_flag|landmark_exposure,no
exposure_component,3,first_followup_id|first_followup_start|first_followup_days,no
extension_assignment_input,2,baseline_risk_score|baseline_risk_rank,no
extension_provenance,5,assignment_hash_prefix|assignment_uniform|extension_seed|extension_version|field_class,no
extension_support,1,baseline_risk_tier,no
identifier,2,patient_id|index_encounter_id,no
outcome,2,later_acute_return_flag|event_indicator,no
outcome_branch,8,index_death_flag|index_death_date|early_death_flag|early_death_date|early_acute_return_flag|first_early_acute_id|first_early_acute_start|first_early_acute_days,no
outcome_component,3,first_later_acute_id|first_later_acute_start|first_later_acute_days_from_discharge,no
outcome_timing,1,observed_time_days,no
sparse_provenance,1,source_organization_id,no
structural_blank,1,landmark_exclusion_reason,no
structural_constant,1,landmark_eligible_flag,no
timing_audit,3,index_start|index_stop|landmark_datetime,no
