claim_id,claim,status,evidence_required,owner
"CB-01","The accepted public releases can be joined on an 11-character Massachusetts tract FIPS for all 1597 PLACES diabetes tracts.","supported","exact source identities, unique keys, pairwise intersections, and unmatched accounting","data steward"
"CB-02","PLACES reports modeled crude diagnosed-diabetes prevalence among adults for measure year 2023.","supported with source wording","PLACES metadata, measure fields, population field, and interval","PLACES source steward"
"CB-03","PLACES rows are observed local diabetes cases.","prohibited","no accepted source can support this claim","epidemiology reviewer"
"CB-04","ACS B01001 can support later age-specific denominator construction after formulas and margin handling are accepted.","supported with conditions","complete source identity, field contract, age-band plan, and methods review","Census and biostatistics reviewers"
"CB-05","SVI describes each individual resident or predicts individual diabetes risk.","prohibited","area-level contextual data cannot support this claim","equity and methods reviewers"
"CB-06","SVI 2022 ranks can be compared directly with a different SVI release as a trend.","prohibited","release-relative ranks and boundary changes block this shortcut","SVI source steward"
"CB-07","The public release supports asking population-measure and community-review questions.","supported with conditions","accepted charter, source roles, claim limits, and community decision rights","FMA-DP-01 fictional council"
"CB-08","A tract with a larger modeled prevalence should automatically receive funding or outreach.","prohibited","public evidence alone cannot create targeting or allocation authority","resource and community owners"
"CB-09","A tract average can be assigned to a resident who lives there.","prohibited","ecological inference is outside the evidence","GIS and methods reviewers"
"CB-10","An unmatched tract is a zero or can be dropped without a record.","prohibited","unmatched state and reason must remain explicit","data steward"
"CB-11","A measured difference is automatically an inequity.","prohibited","inequity requires an explicit normative basis and additional evidence","community and equity reviewers"
"CB-12","The module authorizes rate calculation, standardization, disparity analysis, mapping, ranking, targeting, modeling, or intervention evaluation.","prohibited","those tasks belong to later accepted modules","APP-5 faculty owner"
"CB-13","The module represents a real Massachusetts agency, program, funding decision, or community endorsement.","prohibited","FMA-DP-01 is explicitly fictional","APP-5 faculty owner"
"CB-14","Module 02 curriculum construction may proceed with named methods, source, synthetic-data, community, and governance conditions.","supported with conditions","all 12 Module 01 gates and progression record","APP-5 faculty owner"
