comment_id,link_person_id,data_class,assigned_channel,language_support_offer,accessible_format_offer,comment_language,comment_text
COMMENT-0001,LINK-0001,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The plan did not include a lower-cost option.
COMMENT-0002,LINK-0002,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I have one more question about the next step.
COMMENT-0003,LINK-0004,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0004,LINK-0010,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0005,LINK-0015,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0006,LINK-0017,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0007,LINK-0023,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0008,LINK-0026,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0009,LINK-0028,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I had questions about what the visit or medicine would cost.
COMMENT-0010,LINK-0030,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,It was hard to find help during the evening or weekend.
COMMENT-0011,LINK-0040,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0012,LINK-0041,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"I am not sure which part of the process this comment belongs to. The instructions used clear words, but I still had one question about care at home."
COMMENT-0013,LINK-0047,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The video visit worked, but I still needed a phone option."
COMMENT-0014,LINK-0049,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"It was hard to find help during the evening or weekend. The video visit worked, but I still needed a phone option."
COMMENT-0015,LINK-0052,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0016,LINK-0054,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out. I needed more help understanding when to take each medicine.
COMMENT-0017,LINK-0055,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I have one more question about the next step.
COMMENT-0018,LINK-0063,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_offered,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0019,LINK-0072,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0020,LINK-0073,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I did not know who to contact after regular hours.
COMMENT-0021,LINK-0074,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home.
