input_id,name,fhir_or_context_source,code_or_field,required_at,valid_states,unit_or_format,staleness_or_time_rule,missing_behavior,duplicate_or_delay_behavior,human_owner,status
IN01,service identifier,CDS service configuration,service_id,before evaluation,CGH-GIM-01,exact string,current configuration only,no_card unsupported_service,reject unsupported or version-mismatched configuration,clinical informatics lead,fixture accepted
IN02,hook identity,CDS Hooks request,hook and hook_version,before evaluation,patient-view and 1.0,exact strings,current request only,no_card context_not_supported,reject repeated or version-mismatched hook,interoperability lead,fixture accepted
IN03,user identity,CDS Hooks context,user_id,before evaluation,PractitionerRole/CGH-GIM-01-PCP,FHIR reference,current request only,no_card unsupported_user,do not infer a user from encounter data,identity and access owner,fixture accepted
IN04,patient identity,CDS Hooks context and Patient,patient_id,before evaluation,one resolvable synthetic Patient,FHIR id,current request only,no_card required_input_missing,reject patient and encounter mismatch,clinical data steward,fixture accepted
IN05,encounter identity,CDS Hooks context and Encounter,encounter_id,before evaluation,one active fictional encounter,FHIR id,current encounter only,no_card required_input_missing,reject duplicate or mismatched encounter,clinical data steward,fixture accepted
IN06,decision time,fictional workflow context,decision_time,before evaluation,one timezone-aware timestamp,ISO 8601 UTC,defines information cutoff,no_card required_input_missing,values available later are delayed not available,clinical informatics lead,fixture accepted
IN07,request identity,CDS Hooks request,request_id,before evaluation,one unique request id,exact string,current request only,no_card required_input_missing,duplicate id returns duplicate_request,CDS operations owner,fixture accepted
IN08,known diabetes state,Condition candidate,44054006,present by decision time,present absent unknown,SNOMED CT concept state,no separate staleness; provenance required,no_card input_inconsistent,conflicting states require review,primary-care clinical owner,candidate pending clinical review
IN09,prior HbA1c,Observation candidate,4548-4,available by decision time,valid absent unknown or inconsistent,UCUM percent with effective and availability time,candidate lookback 365 days,no_card required_input_missing,duplicate or delayed observations require explicit resolution,primary-care clinical owner,candidate pending clinical review
IN10,body mass index,Observation candidate,39156-5,available by future model cutoff,valid missing stale or inconsistent,UCUM kg/m2 with effective and availability time,staleness not accepted in Module 02,do not impute,duplicates and delays remain explicit,methods and clinical owners,candidate for Module 03 only
IN11,mock score fixture,Commons rule case,score_fixture,after all prior checks,numeric 0 through 1,unitless fixture,current case only,no_card score_fixture_missing,never compute from clinical resources,methods owner,mechanics only not a prediction
IN12,mock threshold fixture,Commons logic config,threshold_fixture,before score comparison,0.20 in reference tests,unitless fixture,current module version only,stop if absent,version mismatch invalidates traces,clinical governance council,mechanics only not selected or accepted
IN13,response delivery,synthetic transport,response_transport,after candidate result,delivered or suppressed,enumerated state,current response only,silent_failure if expected delivery is absent,duplicate delivery is an incident condition,CDS operations owner,fixture accepted
