comment_id,sample_theme_stratum,coder_a_theme,coder_b_theme,agreement,adjudicated_theme,adjudication_reason,record_class
COMMENT-0009,cost_barrier,digital_channel,cost_barrier,no,cost_barrier,reference adjudication restored the fixed synthetic truth,simulated training coder record; not completed human alpha review
COMMENT-0011,communication_clarity,communication_clarity,communication_clarity,yes,communication_clarity,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0012,communication_clarity,medication_help,communication_clarity,no,communication_clarity,reference adjudication restored the fixed synthetic truth,simulated training coder record; not completed human alpha review
COMMENT-0015,respect_involvement,other_or_unclear,respect_involvement,no,respect_involvement,reference adjudication restored the fixed synthetic truth,simulated training coder record; not completed human alpha review
COMMENT-0016,cost_barrier,cost_barrier,cost_barrier,yes,cost_barrier,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0018,access_after_hours,access_after_hours,access_after_hours,yes,access_after_hours,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0023,medication_help,medication_help,medication_help,yes,medication_help,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0026,other_or_unclear,other_or_unclear,other_or_unclear,yes,other_or_unclear,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0035,communication_clarity,communication_clarity,communication_clarity,yes,communication_clarity,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0036,medication_help,medication_help,medication_help,yes,medication_help,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0041,other_or_unclear,other_or_unclear,other_or_unclear,yes,other_or_unclear,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0049,other_or_unclear,communication_clarity,other_or_unclear,no,other_or_unclear,reference adjudication restored the fixed synthetic truth,simulated training coder record; not completed human alpha review
COMMENT-0053,digital_channel,digital_channel,digital_channel,yes,digital_channel,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0054,warning_signs,warning_signs,warning_signs,yes,warning_signs,both training coders agreed,simulated training coder record; not completed human alpha review
COMMENT-0056,other_or_unclear,other_or_unclear,other_or_unclear,yes,other_or_unclear,both training coders agreed,simulated training coder record; not completed human alpha review
