source_id,field_order,field_name,type,nullable,definition,claim_limit
synthetic-equity-margins,1,equity_margin_id,text,no,Stable generated tract-age-dimension-group row identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,2,case_id,text,no,Fictional planning case identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,3,tract_fips,text,no,Accepted eleven-character Census tract key,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,4,age_band_id,text,no,Accepted adult age-band identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,5,age_band,text,no,Accepted adult age-band label,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,6,band_order,integer,no,Age-band calculation order,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,7,period,text,no,Fictional event period,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,8,equity_dimension,text,no,One separate marginal equity dimension,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,9,dimension_label,text,no,Human-readable dimension label,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,10,group_id,text,no,Stable generated group identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,11,group_label,text,no,Human-readable generated group label,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,12,group_order,integer,no,Display order within dimension,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,13,population_count,integer,no,Generated marginal population count that reconciles to the accepted denominator,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,14,synthetic_event_count,integer,no,Generated marginal event count that reconciles to the accepted numerator,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,15,base_share,decimal,no,Fixed generator share before seeded tract variation,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
