scenario_id,scenario_name,domain_id,domain,status,accepted_evidence,owner,scenario_disposition,return_condition,implementation_authorized
S00,No change,D01,staffing availability and role coverage,supported,No modeled staffing change is introduced.,workforce lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D02,scheduling and shift fit,supported,No modeled schedule change is introduced.,operations lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D03,clinical governance and scope,supported,Monitoring only preserves the current governed state.,clinical lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D04,quality and safety interaction,requires local evidence,Safety events and 72-hour returns were not simulated.,safety lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D05,equity and access interaction,requires local evidence,Access gaps require prospective denominators and review.,access lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D06,workforce burden and interruptions,requires local evidence,Interruptions and perceived load have no accepted baseline.,workforce lead,retain as monitoring baseline,continue bounded monitoring,0
S00,No change,D07,"sustainability, measurement, and ownership",supported,The accepted no-change state can anchor bounded monitoring.,quality lead,retain as monitoring baseline,continue bounded monitoring,0
S01,Flex clinician coverage,D01,staffing availability and role coverage,requires local evidence,The option uses 40.000000 modeled clinician-hours; availability is unknown.,workforce lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D02,scheduling and shift fit,requires local evidence,Shift placement and coverage interactions are not established.,operations lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D03,clinical governance and scope,requires local evidence,Governance and role coverage require local approval.,clinical lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D04,quality and safety interaction,requires local evidence,Safety effects were not simulated.,safety lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D05,equity and access interaction,requires local evidence,Prospective support-group effects remain required.,access lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D06,workforce burden and interruptions,not supported,Modeled resource use is visible but workforce burden is unmeasured.,workforce lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S01,Flex clinician coverage,D07,"sustainability, measurement, and ownership",requires local evidence,"Funding, ownership, and sustained coverage are unknown.",quality lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S02,Fast-track activation,D01,staffing availability and role coverage,supported,The scenario adds no net modeled staff.,workforce lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D02,scheduling and shift fit,requires local evidence,Queue activation and coverage fit are not established locally.,operations lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D03,clinical governance and scope,not supported,The current rule worsens point-demand and stress wait evidence.,clinical lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D04,quality and safety interaction,not supported,Acuity routing requires review and the current wait result is unfavorable.,safety lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D05,equity and access interaction,requires local evidence,Route access by support group requires prospective review.,access lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D06,workforce burden and interruptions,requires local evidence,Interruptions and task switching are not measured.,workforce lead,stop in current form,materially different clinically reviewed design,0
S02,Fast-track activation,D07,"sustainability, measurement, and ownership",not supported,The current rule does not qualify for continued feasibility work.,quality lead,stop in current form,materially different clinically reviewed design,0
S03,Combined bounded rule,D01,staffing availability and role coverage,requires local evidence,The option uses 25.220413 modeled flex clinician-hours.,workforce lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D02,scheduling and shift fit,requires local evidence,Activation timing and shift fit require local evidence.,operations lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D03,clinical governance and scope,requires local evidence,The combined rule requires clinical and operational review.,clinical lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D04,quality and safety interaction,requires local evidence,Safety effects were not simulated and wait gates were missed.,safety lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D05,equity and access interaction,requires local evidence,Prospective support-group effects remain required.,access lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D06,workforce burden and interruptions,not supported,Added modeled hours coexist with unmeasured interruptions and load.,workforce lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
S03,Combined bounded rule,D07,"sustainability, measurement, and ownership",requires local evidence,Ownership and sustainability are not established.,quality lead,revise before reconsideration,new declared scenario contract and all Module 05 gates,0
