tract_fips,equity_dimension,group_rows,primary_suppressed_cells,complementary_suppressed_cells,total_suppressed_cells,status,rule
25001010100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010206,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010206,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010206,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010208,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010208,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010208,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010304,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010304,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010304,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010306,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010306,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010306,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010400,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010400,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010500,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
