condition_id,condition,owner,due_point,evidence,verifier,status,escalation_trigger
C01,Confirm Joe Joseph participation schedule format recording permission and final biography wording,APP-4 program owner,before alpha,clinician-profile.md,APP-4 faculty owner,open,do not claim delivered clinician leadership
C02,Confirm the local clinical purpose action nonaction decision owner and reconsideration question,local clinical decision owner,before any local request,product-brief.md,clinical governance council,open,no local protocol review
C03,Select and justify any proposed clinical threshold and alert budget through local governance,clinical governance council,before any local request,logic-input-threshold.md,independent clinical reviewer,open,no threshold acceptance
C04,Repair the malformed-card accessibility defect and verify equivalent access independently,accessibility owner,before any local request,accessible-communication.md,accessibility reviewer,open,no interface review or release
C05,Review local FHIR CDS Hooks terminology unit time version suppression trace and unavailable-state behavior,clinical informatics and interoperability owners,before any local request,prototype-disclosure.md,independent interoperability reviewer,open,no conformance or connection claim
C06,Verify all 22 hazards controls owners fallback stop restart and retirement routes locally,patient-safety owner,before any local request,safety-case.md,patient-safety reviewer,open,no local safety acceptance
C07,Reproduce silent-failure detection from independent request response trace and notice ledgers,monitoring and patient-safety owners,before any local request,monitoring-silent-failure-plan.md,independent reproducer,open,no silent-mode protocol review
C08,Collect local workflow burden hidden-work override and staff-voice evidence without blame,workflow and human-factors owner,before any local request,workflow-patient-consequences.md,frontline reviewer,open,no workflow-fit claim
C09,Review patient benefit harm language disability access cost privacy recourse and equity consequences,patient access and equity owners,before any local request,workflow-patient-consequences.md,patient or caregiver reviewer,open,no benefit or equity claim
C10,Approve data minimization access retention security incident and credential boundaries,privacy security and data-governance owners,before any local request,stewardship-governance-retirement.md,governance reviewer,open,no data route approval
C11,Reproduce historical evidence calibration subgroup support and fixed ML decision independently,survey-methods and model-risk reviewers,before alpha,final-review/final-reproduction.md,independent reproducer,open,no model-decision promotion
C12,Name accountable clinical safety workflow access data model accessibility privacy and security owners,local governance council,before any local request,stakeholder-roles.csv,APP-4 faculty owner,open,no ownership or authorization claim
C13,Draft and independently review a separate bounded silent-mode protocol without starting it,local evaluation owner,before any local request,evaluation-proposal.md,proper local approval body,open,no silent-mode start
C14,Complete a live or approved equivalent 14-question clinician-led defense,clinician of record and faculty owner,before alpha,final-review/final-defense.md,APP-4 faculty owner,open,tag remains uncreated
C15,Assign the official APP-4 section and half-term dates,program owner,before alpha,final-review/submission-record.md,APP-4 faculty owner,open,no published due date
C16,Run clean independent assembly and confirm the exact reviewed commit,independent reproducer,before alpha,final-review/final-reproduction.md,APP-4 faculty owner,open,no course promotion or tag authorization
