condition_id,condition,owner,verifier,status,blocks
C01,Map the checkpoint to the official APP-5 section and published half-term dates,REPLACE,REPLACE,REPLACE,REPLACE
C02,Review TIGER geometry source identity projection simplification accessible map and exact table,REPLACE,REPLACE,REPLACE,REPLACE
C03,Review ecological contextual support aggregation and non-stigmatizing place claims,REPLACE,REPLACE,REPLACE,REPLACE
C04,Review fixed resource assumptions four rules fairness definitions consequences and sensitivity,REPLACE,REPLACE,REPLACE,REPLACE
C05,Confirm community review correction appeal language access and disability access routes,REPLACE,REPLACE,REPLACE,REPLACE
C06,Confirm the fictional intervention does not create real need consent eligibility or outreach authority,REPLACE,REPLACE,REPLACE,REPLACE
C07,Resolve or retain all staff travel burden and capacity conditions,REPLACE,REPLACE,REPLACE,REPLACE
C08,Review all monitoring definitions denominators triggers unavailable states and responses,REPLACE,REPLACE,REPLACE,REPLACE
C09,Review incident escalation pause stop revision retirement and disagreement authority,REPLACE,REPLACE,REPLACE,REPLACE
C10,Confirm outcomes are unavailable and effect estimation remains deferred to APP-6,REPLACE,REPLACE,REPLACE,REPLACE
C11,Review the fixed clustering contract instability failures rejected decision and prohibited uses,REPLACE,REPLACE,REPLACE,REPLACE
C12,Review privacy security accessibility and non-reconstruction boundaries,REPLACE,REPLACE,REPLACE,REPLACE
C13,Review every material AI use verification correction and human accountability record,REPLACE,REPLACE,REPLACE,REPLACE
C14,Complete independent reproduction and confirm clinician-leadership participation details,REPLACE,REPLACE,REPLACE,REPLACE
