stakeholder_id,role,decision_right,module01_evidence_owned,can_require_revision,can_stop,open_condition
"CA-01","affected residents","question framing, add lived experience, contest burden, and review community-facing claims","resident consequence and recourse questions","yes","yes for progression to real community action","real representation and engagement process not established"
"CA-02","community organizations","add local service and access evidence, challenge interpretation, and propose alternatives","community context, trust, and access questions","yes","yes for progression to real community action","no organization is represented by the fictional case"
"CA-03","population-health clinician","review clinical meaning and population-to-patient boundary","clinical consequence and safety boundary","yes","yes for unsafe clinical framing","named reviewer pending"
"CA-04","epidemiologist","review population, measure, denominator, surveillance, bias, and uncertainty","population and surveillance contract","yes","yes for invalid measure framing","named reviewer pending"
"CA-05","biostatistician","review rate, standardization, disparity, uncertainty, and support plan","methods progression conditions","yes","yes for invalid methods plan","named reviewer pending"
"CA-06","GIS and geography reviewer","review tract identity, vintage, joins, aggregation, and ecological limits","geography and time contract","yes","yes for invalid geographic inference","named reviewer pending"
"CA-07","racial and ethnic equity reviewer","review group definition, missingness, structural interpretation, stigma, and consequences","equity-language and claim boundaries","yes","yes for harmful or unsupported equity framing","named reviewer pending"
"CA-08","language and disability access reviewer","review communication, participation access, delivery access, and exclusion","access questions and format requirements","yes","yes for inaccessible progression","named reviewer pending"
"CA-09","public-health program lead","own the fictional program question, alternatives, feasibility, and nonaction","fictional decision and implementation questions","yes","yes for infeasible fictional plan","program conditions not yet defined"
"CA-10","data steward and privacy reviewer","own source identity, minimization, linkage, audit, and public-versus-synthetic separation","source release and data-role map","yes","yes for provenance, privacy, or linkage failure","named reviewers pending"
"CA-11","resource-allocation owner","own the fictional resource constraint and explain tradeoffs","future allocation assumptions","yes","yes for unaffordable or unauthorized fictional plan","resource constraint not defined until Module 05"
"CA-12","FMA-DP-01 fictional planning council","accept, condition, revise, refer, or stop curriculum progression","integrated decision record","yes","yes for curriculum progression only","cannot authorize any real Massachusetts action"
