"case_id","case_title","decision_owner","decision","reader_task","data_shape","precision_need","context_required","source_url","reference_choice","required_companion","no_display_trigger","build_mode"
"C01","Compare hospital recommendation results","Hospital executive team","Choose results for deeper review without declaring a quality ranking.","compare","one quantitative result across named hospitals","ordered pattern and close gaps","completed surveys, response rate, release, period, and comparison limits","https://data.cms.gov/provider-data/dataset/dgck-syfz","aligned dot plot","table with response rate and completed surveys","The hospital set or measure is not consistently defined.","build"
"C02","Look up exact patient-experience values","Patient-experience director","Retrieve the exact recommendation, response-rate, and completed-survey values for named hospitals.","lookup","three exact values for a small named hospital set","exact values","measure definitions, unavailable values, release, and period","https://data.cms.gov/provider-data/dataset/dgck-syfz","table","plain-language measure and missing-value notes","The requested measures use incompatible definitions or periods.","table"
"C03","Examine recommendation and response rate","Survey program lead","Identify hospitals whose recommendation result and response rate warrant follow-up.","relationship","two quantitative measures plus survey-count context","broad relationship and unusual combinations","completed surveys, missingness, release, and noncausal claim","https://data.cms.gov/provider-data/dataset/dgck-syfz","scatterplot","table of the plotted values and survey counts","Either quantitative measure is mostly missing or not comparable.","build"
"C04","Find patients hidden by an average length of stay","Emergency department director","Decide whether the typical stay conceals a long-stay group that changes the improvement plan.","distribution","encounter-level continuous values with possible skew and subgroups","shape, tails, and subgroup structure","sample size, subgroup, censoring, and unit definition","https://synthetichealth.github.io/synthea/","distribution view with subgroup comparison","summary table with n, median, upper quantile, and subgroup counts","Only an aggregate mean is available for a distribution question.","decision-only"
"C05","Monitor an emergency-care measure over reporting periods","Clinical operations committee","Decide whether a process measure shows a sustained change that warrants action.","time","one consistently defined measure across ordered periods","direction, timing, and process variation","reporting period, measure-definition stability, target, and ordinary variation","https://data.cms.gov/provider-data/dataset/yv7e-xc69","line or run chart with process context","measure-definition and reporting-period note","Measure definitions or reporting periods change across the series.","decision-only"
"C06","Show how causes contribute to a mortality total","Population-health director","Choose which cause group needs a prevention or investigation priority.","composition","counts within a defensible total and hierarchy","part-to-whole contribution and exact counts","denominator, cause hierarchy, suppression, and reliability flags","https://wonder.cdc.gov/datasets.html","ordered composition view with companion counts","accessible table with counts, denominator, and suppressed values","The parts do not share one defensible total or suppression hides the total.","decision-only"
"C07","Find where patients leave a care pathway","Care-pathway improvement team","Choose the transition where pathway redesign should begin.","flow","counts moving among ordered pathway states","pathway magnitude and drop-off location","cohort entry, state definitions, repeated encounters, and missing transitions","https://synthetichealth.github.io/synthea/","flow view with a companion transition table","transition table and cohort definition","The cohort and transition states cannot be reconstructed.","decision-only"
"C08","Locate counties with need and limited workforce access","Community health planning coalition","Choose counties for deeper access planning, not allocate resources from a map alone.","geography","county estimate, geography, population context, and workforce measure","spatial pattern plus exact comparison","population denominator, estimate uncertainty, geography, and workforce year","https://data.cdc.gov/d/fu4u-a9bh","map plus aligned comparison","ranked table with estimate, denominator, uncertainty, and workforce measure","Geographies, years, or denominators cannot be aligned.","decision-only"
"C09","Monitor three hospital measures and preserve exact values","Hospital quality committee","Monitor current status while preserving the detail needed for follow-up.","monitor","three current measures across hospitals plus exact values","overview and exact lookup","measure definitions, target or reference, unavailable values, release, and period","https://data.cms.gov/provider-data/topics/hospitals","coordinated comparison and table","accessible exact-value table and source status","The measures cannot be refreshed consistently enough for monitoring.","decision-only"
"C10","Answer a question the available data do not support","Hospital executive team","Decide whether to pause and request better evidence before communicating a result.","verify evidence","suppressed or mismatched values with no defensible denominator","no quantitative claim until evidence is adequate","missingness reason, denominator, population, time alignment, and decision need","https://data.cms.gov/provider-data/dataset/dgck-syfz","no display; request adequate evidence","written evidence-gap note","The available evidence does not support the question.","decision-only"
