source_id,field_order,field_name,type,nullable,definition,claim_limit
synthetic-events,1,synthetic_event_id,text,no,Stable generated tract-age-period row identifier,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,2,case_id,text,no,Fictional planning case identifier FMA-DP-01,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,3,tract_fips,text,no,Eleven-character Census tract key from the accepted public intersection,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,4,age_band_id,text,no,Stable adult age-band identifier,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,5,age_band,text,no,Adult age-band label,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,6,period,text,no,Fictional synthetic event period,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,7,acs_denominator_estimate,integer,no,ACS-derived age-band estimate copied only for generator reconciliation,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,8,synthetic_event_count,integer,no,Generated planning-need event count,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,9,generated_probability,decimal,no,Fixed age probability plus seeded fictional tract effect,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,10,fictional_tract_effect,decimal,no,Seeded effect unrelated to PLACES or SVI values,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,11,generator_version,text,no,Synthetic generator semantic version,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,12,seed,integer,no,Synthetic generator seed,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,13,synthetic_flag,integer,no,One for every generated row,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,14,numerator_definition,text,no,Exact teaching numerator definition,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
synthetic-events,15,claim_limit,text,no,"Prohibition on real case, eligibility, outcome, or allocation claims","Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,1,age_band_id,text,no,Stable adult age-band identifier,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,2,age_band,text,no,Adult age-band label,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,3,band_order,integer,no,Display and calculation order,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,4,sex,text,no,B01001 source sex branch,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,5,source_age_label,text,no,Human-readable B01001 source cell label,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,6,acs_estimate_field,text,no,B01001 estimate field included in the age-band sum,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
age-band-crosswalk,7,acs_moe_field,text,no,Paired B01001 90 percent margin-of-error field,"Synthetic aggregates and ACS field routing support teaching only; they do not establish real cases, individual traits, or action authority."
