claim_id,proposed_statement,classification,decision,reason,required_rewrite
EC01,Adults who live in darker tracts have diabetes,ecological and individual inference,reject,"the map contains modeled area estimates, not individual diagnoses","CDC PLACES modeled tract estimates fall into the displayed absolute classes; no individual inference follows"
EC02,The map shows observed diabetes cases,source-role error,reject,"PLACES supplies modeled prevalence estimates, not observed case counts","the map displays CDC PLACES modeled crude adult diabetes prevalence estimates"
EC03,Gray tracts have zero diabetes,unavailable-to-zero error,reject,"23 geometry-only tracts have no accepted PLACES row","gray means unavailable in the accepted join; it does not mean zero"
EC04,Tracts in the darkest class should be prioritized,targeting claim,reject,"an absolute display class is not a priority or allocation rule","the class describes a modeled estimate range and authorizes no action"
EC05,The fixed classes display 1597 accepted modeled estimates and retain 23 tracts as unavailable,bounded source statement,accept,"the statement matches the exact table and source role","retain the source, measure year, interval, support, and action limits"
EC06,The county values are official county PLACES estimates,aggregation identity error,reject,"the module calculates population-weighted summaries of tract estimates","call them county teaching summaries and link to the exact aggregation method"
EC07,Hatching means CDC found the estimate unreliable,unsupported quality label,reject,"the 4-point interval-width and 500-population triggers are classroom rules","hatching marks a classroom support review and requires the exact interval and population field"
EC08,645 tracts change display class under the county teaching summary,aggregation finding,accept,"the count is reproduced by the exact comparison table","state that aggregation changes the display and that neither geography supports individual inference"
EC09,People in a mapped tract share the tract-level estimate,compositional inference,reject,"area context and resident characteristics are not interchangeable","describe only the modeled area estimate and avoid claims about every resident"
EC10,The map identifies communities that need intervention,community and action claim,reject,"boundaries and modeled estimates do not supply community agreement, access, capacity, benefit, harm, or authority","use the map only to frame questions for later accountable review"
